uc,run,reconnect_samples_joined_only
UC2_P10,run-20251130-223524_uc2_p10_m2000_r10_s256_RELAY,0.2
UC2_P10,run-20251130-223910_uc2_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251130-224256_uc2_p10_m2000_r10_s256_RELAY,0.7
UC2_P10,run-20251130-224642_uc2_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251130-225028_uc2_p10_m2000_r10_s256_RELAY,0.4
UC2_P10,run-20251130-225414_uc2_p10_m2000_r10_s256_RELAY,0.5
UC2_P10,run-20251130-225800_uc2_p10_m2000_r10_s256_RELAY,0.9
UC2_P10,run-20251130-230146_uc2_p10_m2000_r10_s256_RELAY,0.5
UC2_P10,run-20251130-230532_uc2_p10_m2000_r10_s256_RELAY,0.9
UC2_P10,run-20251130-230918_uc2_p10_m2000_r10_s256_RELAY,0.8
UC2_P20,run-20251130-231530_uc2_p20_m2000_r10_s256_RELAY,0.75
UC2_P20,run-20251130-231919_uc2_p20_m2000_r10_s256_RELAY,0.7
UC2_P20,run-20251130-232306_uc2_p20_m2000_r10_s256_RELAY,0.55
UC2_P20,run-20251130-232654_uc2_p20_m2000_r10_s256_RELAY,0.6
UC2_P20,run-20251130-233042_uc2_p20_m2000_r10_s256_RELAY,0.9
UC2_P20,run-20251130-233430_uc2_p20_m2000_r10_s256_RELAY,0.65
UC2_P20,run-20251130-233817_uc2_p20_m2000_r10_s256_RELAY,0.75
UC2_P20,run-20251130-234205_uc2_p20_m2000_r10_s256_RELAY,0.6
UC2_P20,run-20251130-234553_uc2_p20_m2000_r10_s256_RELAY,0.8
UC2_P20,run-20251130-234941_uc2_p20_m2000_r10_s256_RELAY,0.9
UC2_P30,run-20251130-235924_uc2_p30_m2000_r10_s256_RELAY,0.9
UC2_P30,run-20251201-000314_uc2_p30_m2000_r10_s256_RELAY,0.8333333333333334
UC2_P30,run-20251201-000704_uc2_p30_m2000_r10_s256_RELAY,0.5666666666666667
UC2_P30,run-20251201-001053_uc2_p30_m2000_r10_s256_RELAY,0.6333333333333333
UC2_P30,run-20251201-001443_uc2_p30_m2000_r10_s256_RELAY,0.8666666666666667
UC2_P30,run-20251201-001832_uc2_p30_m2000_r10_s256_RELAY,0.7
UC2_P30,run-20251201-002222_uc2_p30_m2000_r10_s256_RELAY,0.7666666666666667
UC2_P30,run-20251201-002612_uc2_p30_m2000_r10_s256_RELAY,0.6666666666666666
UC2_P30,run-20251201-003001_uc2_p30_m2000_r10_s256_RELAY,0.5666666666666667
UC2_P30,run-20251201-003352_uc2_p30_m2000_r10_s256_RELAY,0.8333333333333334
UC2_P40,run-20251201-003758_uc2_p40_m2000_r10_s256_RELAY,0.5
UC2_P40,run-20251201-004151_uc2_p40_m2000_r10_s256_RELAY,0.725
UC2_P40,run-20251201-004543_uc2_p40_m2000_r10_s256_RELAY,0.725
UC2_P40,run-20251201-004935_uc2_p40_m2000_r10_s256_RELAY,0.675
UC2_P40,run-20251201-005326_uc2_p40_m2000_r10_s256_RELAY,0.725
UC2_P40,run-20251201-005719_uc2_p40_m2000_r10_s256_RELAY,0.675
UC2_P40,run-20251201-010110_uc2_p40_m2000_r10_s256_RELAY,0.675
UC2_P40,run-20251201-010503_uc2_p40_m2000_r10_s256_RELAY,0.725
UC2_P40,run-20251201-010855_uc2_p40_m2000_r10_s256_RELAY,0.6
UC2_P40,run-20251201-011246_uc2_p40_m2000_r10_s256_RELAY,0.675
UC2_P50,run-20251201-011707_uc2_p50_m2000_r10_s256_RELAY,0.54
UC2_P50,run-20251201-012101_uc2_p50_m2000_r10_s256_RELAY,0.7
UC2_P50,run-20251201-012454_uc2_p50_m2000_r10_s256_RELAY,0.62
UC2_P50,run-20251201-012847_uc2_p50_m2000_r10_s256_RELAY,0.68
UC2_P50,run-20251201-013241_uc2_p50_m2000_r10_s256_RELAY,0.6
UC2_P50,run-20251201-013635_uc2_p50_m2000_r10_s256_RELAY,0.62
UC2_P50,run-20251201-014028_uc2_p50_m2000_r10_s256_RELAY,0.74
UC2_P50,run-20251201-014421_uc2_p50_m2000_r10_s256_RELAY,0.64
UC2_P50,run-20251201-014816_uc2_p50_m2000_r10_s256_RELAY,0.68
UC2_P50,run-20251201-015210_uc2_p50_m2000_r10_s256_RELAY,0.74
