uc,run,convergence_time_ms,convergence_time_s
UC2_P10,run-20251130-223524_uc2_p10_m2000_r10_s256_RELAY,202782.7,202.7827
UC2_P10,run-20251130-223910_uc2_p10_m2000_r10_s256_RELAY,202704.6,202.7046
UC2_P10,run-20251130-224256_uc2_p10_m2000_r10_s256_RELAY,202702.5,202.7025
UC2_P10,run-20251130-224642_uc2_p10_m2000_r10_s256_RELAY,202769.3,202.7693
UC2_P10,run-20251130-225028_uc2_p10_m2000_r10_s256_RELAY,202892.0,202.892
UC2_P10,run-20251130-225414_uc2_p10_m2000_r10_s256_RELAY,202883.1,202.8831
UC2_P10,run-20251130-225800_uc2_p10_m2000_r10_s256_RELAY,202908.7,202.9087
UC2_P10,run-20251130-230146_uc2_p10_m2000_r10_s256_RELAY,202801.2,202.80120000000002
UC2_P10,run-20251130-230532_uc2_p10_m2000_r10_s256_RELAY,202735.0,202.735
UC2_P10,run-20251130-230918_uc2_p10_m2000_r10_s256_RELAY,202744.0,202.744
UC2_P20,run-20251130-231530_uc2_p20_m2000_r10_s256_RELAY,202690.05,202.69004999999999
UC2_P20,run-20251130-231919_uc2_p20_m2000_r10_s256_RELAY,202667.1,202.6671
UC2_P20,run-20251130-232306_uc2_p20_m2000_r10_s256_RELAY,202639.3,202.6393
UC2_P20,run-20251130-232654_uc2_p20_m2000_r10_s256_RELAY,202652.0,202.652
UC2_P20,run-20251130-233042_uc2_p20_m2000_r10_s256_RELAY,202733.0,202.733
UC2_P20,run-20251130-233430_uc2_p20_m2000_r10_s256_RELAY,202707.85,202.70785
UC2_P20,run-20251130-233817_uc2_p20_m2000_r10_s256_RELAY,202691.0,202.691
UC2_P20,run-20251130-234205_uc2_p20_m2000_r10_s256_RELAY,202660.2,202.6602
UC2_P20,run-20251130-234553_uc2_p20_m2000_r10_s256_RELAY,202679.85,202.67985000000002
UC2_P20,run-20251130-234941_uc2_p20_m2000_r10_s256_RELAY,202722.65,202.72265
UC2_P30,run-20251130-235924_uc2_p30_m2000_r10_s256_RELAY,202612.1,202.6121
UC2_P30,run-20251201-000314_uc2_p30_m2000_r10_s256_RELAY,202560.5,202.5605
UC2_P30,run-20251201-000704_uc2_p30_m2000_r10_s256_RELAY,202678.46666666667,202.67846666666668
UC2_P30,run-20251201-001053_uc2_p30_m2000_r10_s256_RELAY,202573.63333333333,202.57363333333333
UC2_P30,run-20251201-001443_uc2_p30_m2000_r10_s256_RELAY,202588.56666666668,202.58856666666668
UC2_P30,run-20251201-001832_uc2_p30_m2000_r10_s256_RELAY,202690.56666666668,202.69056666666668
UC2_P30,run-20251201-002222_uc2_p30_m2000_r10_s256_RELAY,202600.33333333334,202.60033333333334
UC2_P30,run-20251201-002612_uc2_p30_m2000_r10_s256_RELAY,202528.66666666666,202.52866666666665
UC2_P30,run-20251201-003001_uc2_p30_m2000_r10_s256_RELAY,202637.76666666666,202.63776666666666
UC2_P30,run-20251201-003352_uc2_p30_m2000_r10_s256_RELAY,202590.96666666667,202.59096666666667
UC2_P40,run-20251201-003758_uc2_p40_m2000_r10_s256_RELAY,202411.75,202.41175
UC2_P40,run-20251201-004151_uc2_p40_m2000_r10_s256_RELAY,202554.9,202.5549
UC2_P40,run-20251201-004543_uc2_p40_m2000_r10_s256_RELAY,202666.05,202.66604999999998
UC2_P40,run-20251201-004935_uc2_p40_m2000_r10_s256_RELAY,202598.575,202.598575
UC2_P40,run-20251201-005326_uc2_p40_m2000_r10_s256_RELAY,202497.7,202.4977
UC2_P40,run-20251201-005719_uc2_p40_m2000_r10_s256_RELAY,202628.85,202.62885
UC2_P40,run-20251201-010110_uc2_p40_m2000_r10_s256_RELAY,202570.35,202.57035000000002
UC2_P40,run-20251201-010503_uc2_p40_m2000_r10_s256_RELAY,202453.525,202.45352499999998
UC2_P40,run-20251201-010855_uc2_p40_m2000_r10_s256_RELAY,202512.575,202.512575
UC2_P40,run-20251201-011246_uc2_p40_m2000_r10_s256_RELAY,202500.675,202.500675
UC2_P50,run-20251201-011707_uc2_p50_m2000_r10_s256_RELAY,202424.84,202.42484
UC2_P50,run-20251201-012101_uc2_p50_m2000_r10_s256_RELAY,202380.38,202.38038
UC2_P50,run-20251201-012454_uc2_p50_m2000_r10_s256_RELAY,202498.54,202.49854000000002
UC2_P50,run-20251201-012847_uc2_p50_m2000_r10_s256_RELAY,202399.62,202.39962
UC2_P50,run-20251201-013241_uc2_p50_m2000_r10_s256_RELAY,202509.66,202.50966
UC2_P50,run-20251201-013635_uc2_p50_m2000_r10_s256_RELAY,202566.38,202.56638
UC2_P50,run-20251201-014028_uc2_p50_m2000_r10_s256_RELAY,202405.68,202.40568
UC2_P50,run-20251201-014421_uc2_p50_m2000_r10_s256_RELAY,202487.7,202.48770000000002
UC2_P50,run-20251201-014816_uc2_p50_m2000_r10_s256_RELAY,202469.38,202.46938
UC2_P50,run-20251201-015210_uc2_p50_m2000_r10_s256_RELAY,202499.14,202.49914
