uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,convergence_time_ms,pr_avg_ratio,rt_avg_ms,rt_p50_ms,rt_p90_ms,rt_max_ms,disconnect_events,reconnect_events,reconnect_samples,join_wait_ms,sender_joined,joined,saw_test,convergence_time_s,delivery_rate_joined_only,reconnect_samples_joined_only,join_wait_ms_joined_only
UC2_P20,run-20251130-233430_uc2_p20_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.05,1.6,1.85,2.85,1.85,1.85,1.85,1.85,2.45,202707.85,1.0,6857.25,6975.5,6975.5,6975.5,4.3,3.9,0.65,82.35,1.0,1.0,1.0,202.70785,1.0,0.65,82.35
UC2_P20,run-20251130-233817_uc2_p20_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.0,1.45,1.8,3.25,1.4,1.5,1.5,1.5,2.15,202691.0,1.0,10167.214285714286,10268.714285714286,10268.714285714286,10268.714285714286,4.0,3.9,0.75,82.3,1.0,1.0,1.0,202.691,1.0,0.75,82.3
UC2_P20,run-20251130-234205_uc2_p20_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.0,1.5,1.8,2.35,1.55,1.55,1.55,1.55,2.25,202660.2,1.0,7125.5,7125.5,7125.5,7125.5,4.55,4.2,0.6,191.6,1.0,1.0,1.0,202.6602,1.0,0.6,191.6
UC2_P20,run-20251130-234553_uc2_p20_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.0,1.6,1.8,2.2,1.75,1.8,1.8,1.8,2.4,202679.85,1.0,33285.4,33380.86666666667,33380.86666666667,33380.86666666667,3.7,3.6,0.8,95.25,1.0,1.0,1.0,202.67985000000002,1.0,0.8,95.25
UC2_P20,run-20251130-234941_uc2_p20_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.0,1.4,1.8,2.45,1.3,1.3,1.3,1.3,2.15,202722.65,1.0,8851.411764705883,8935.529411764706,8935.529411764706,8935.529411764706,3.45,3.25,0.9,182.25,1.0,1.0,1.0,202.72265,1.0,0.9,182.25
UC2_P30,run-20251130-235924_uc2_p30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.0,1.5666666666666667,1.8666666666666667,5.4,1.7,1.7333333333333334,1.7333333333333334,1.7333333333333334,3.1333333333333333,202612.1,1.0,13558.130434782608,14921.217391304348,14921.217391304348,14921.217391304348,4.633333333333334,4.466666666666667,0.9,72.86666666666666,1.0,1.0,1.0,202.6121,1.0,0.9,72.86666666666666
UC2_P30,run-20251201-000314_uc2_p30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.03333333333333333,1.0333333333333334,1.5333333333333334,1.8333333333333333,2.6333333333333333,1.8,1.8,1.8,1.8,3.1,202560.5,1.0,2449.913043478261,2573.9565217391305,2573.9565217391305,2573.9565217391305,4.3,4.1,0.8333333333333334,76.53333333333333,1.0,1.0,1.0,202.5605,1.0,0.8333333333333334,76.53333333333333
UC2_P30,run-20251201-000704_uc2_p30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.0666666666666667,1.6333333333333333,1.8666666666666667,2.966666666666667,1.9666666666666666,1.9666666666666666,1.9666666666666666,1.9666666666666666,2.9,202678.46666666667,1.0,2596.8823529411766,2596.8823529411766,2596.8823529411766,2596.8823529411766,5.133333333333334,4.766666666666667,0.5666666666666667,75.83333333333333,1.0,1.0,1.0,202.67846666666668,1.0,0.5666666666666667,75.83333333333333
UC2_P30,run-20251201-001053_uc2_p30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.1,1.1333333333333333,1.7666666666666666,1.9333333333333333,3.8666666666666667,2.6333333333333333,2.6333333333333333,2.6333333333333333,2.6333333333333333,3.5,202573.63333333333,1.0,15993.411764705883,16158.823529411764,16158.823529411764,16158.823529411764,5.3,5.0,0.6333333333333333,88.36666666666666,1.0,1.0,1.0,202.57363333333333,1.0,0.6333333333333333,88.36666666666666
UC2_P30,run-20251201-001443_uc2_p30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.03333333333333333,1.0333333333333334,1.6333333333333333,1.9,5.8,2.0,2.066666666666667,2.1333333333333333,2.1333333333333333,3.8,202588.56666666668,1.0,12009.833333333334,12129.625,12129.625,12129.625,4.166666666666667,4.066666666666666,0.8666666666666667,72.26666666666667,1.0,1.0,1.0,202.58856666666668,1.0,0.8666666666666667,72.26666666666667
UC2_P30,run-20251201-001832_uc2_p30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.13333333333333333,1.1333333333333333,1.6,1.9,2.6,2.2666666666666666,2.3,2.3,2.3,2.8333333333333335,202690.56666666668,1.0,11933.894736842105,12081.421052631578,12081.421052631578,12081.421052631578,4.433333333333334,4.333333333333333,0.7,85.03333333333333,1.0,1.0,1.0,202.69056666666668,1.0,0.7,85.03333333333333
UC2_P30,run-20251201-002222_uc2_p30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.0,1.5666666666666667,1.9,2.2,1.6333333333333333,1.6666666666666667,1.7,1.7,2.8333333333333335,202600.33333333334,1.0,15056.952380952382,16416.47619047619,16416.47619047619,16416.47619047619,4.1,3.9,0.7666666666666667,73.73333333333333,1.0,1.0,1.0,202.60033333333334,1.0,0.7666666666666667,73.73333333333333
UC2_P30,run-20251201-002612_uc2_p30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.03333333333333333,1.0666666666666667,1.6666666666666667,1.8666666666666667,2.7333333333333334,2.3,2.3,2.3333333333333335,2.3333333333333335,2.966666666666667,202528.66666666666,1.0,8673.777777777777,8832.333333333334,8832.333333333334,8832.333333333334,4.866666666666666,4.666666666666667,0.6666666666666666,79.33333333333333,1.0,1.0,1.0,202.52866666666665,1.0,0.6666666666666666,79.33333333333333
UC2_P30,run-20251201-003001_uc2_p30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.03333333333333333,1.0333333333333334,1.6333333333333333,1.8666666666666667,5.666666666666667,1.9,1.9,1.9,1.9,2.7,202637.76666666666,1.0,2678.0625,2766.375,2766.375,2766.375,4.333333333333333,4.0,0.5666666666666667,1069.9333333333334,1.0,1.0,1.0,202.63776666666666,1.0,0.5666666666666667,1069.9333333333334
