uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,pr_avg_ratio,avg_connected_peers,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms,neighbour_down,neighbour_up,join_wait_ms,sender_joined,joined,saw_test,delivery_rate_joined_only
UC4_P20,run-20251204-125445_uc10_p20_m2000_r10_s256_RELAY,0.84795,0.0,1695.9,1695.9,1700.0,0.0,199.25,50.88235294117647,213.41176470588235,458.29411764705884,791.6470588235294,1291.6470588235295,0.7058823529411765,1.2352941176470589,2.1176470588235294,3.823529411764706,5.411764705882353,1.0,3.833871115336813,118.5,0.2,592.5,592.5,592.5,5.7,8.15,7087.25,1.0,0.85,0.85,0.9975882352941177
UC4_P20,run-20251204-125837_uc10_p20_m2000_r10_s256_RELAY,0.6,0.0,1200.0,1200.0,1200.0,0.0,140.1,38.416666666666664,160.58333333333334,354.1666666666667,629.3333333333334,1081.0833333333333,0.3333333333333333,0.9166666666666666,2.0833333333333335,3.1666666666666665,4.666666666666667,1.0,4.38129291725871,13.45,0.05,269.0,269.0,269.0,3.45,5.65,12650.0,1.0,0.6,0.6,1.0
UC4_P20,run-20251204-130229_uc10_p20_m2000_r10_s256_RELAY,0.7939499999999999,0.0,1587.9,1587.9,1600.0,0.0,230.05,56.875,245.1875,473.6875,770.625,1420.375,0.625,1.125,2.6875,4.1875,6.0,1.0,3.806316883700114,199.35,0.25,797.4,797.4,797.4,4.65,7.55,9428.35,1.0,0.8,0.8,0.9924375
UC4_P20,run-20251204-130623_uc10_p20_m2000_r10_s256_RELAY,0.6994,0.0,1398.8,1398.8,1400.0,0.0,200.95,47.42857142857143,242.42857142857142,481.85714285714283,810.7142857142857,1312.357142857143,0.42857142857142855,0.9285714285714286,2.2857142857142856,3.9285714285714284,5.714285714285714,1.0,3.8660892046419133,35.95,0.05,719.0,719.0,719.0,3.25,5.75,10852.1,1.0,0.7,0.7,0.9991428571428571
UC4_P20,run-20251204-131016_uc10_p20_m2000_r10_s256_RELAY,0.84575,0.0,1691.5,1691.5,1700.0,0.0,208.3,47.1764705882353,187.2941176470588,390.8235294117647,666.7647058823529,1238.7058823529412,0.5294117647058824,1.1764705882352942,2.1176470588235294,3.823529411764706,5.411764705882353,1.0,3.9297193024986665,27.85,0.05,557.0,557.0,557.0,6.25,9.2,5910.65,1.0,0.85,0.85,0.995
UC4_P30,run-20251204-140547_uc10_p30_m2000_r10_s256_RELAY,0.9317666666666666,0.0,1863.5333333333333,1863.5333333333333,1866.6666666666667,0.0,308.8666666666667,62.464285714285715,288.42857142857144,510.39285714285717,850.9285714285714,1775.107142857143,0.6428571428571429,1.5357142857142858,3.5,5.25,7.0,1.0,3.9640307748783874,31.6,0.03333333333333333,948.0,948.0,948.0,11.733333333333333,14.6,3473.866666666667,1.0,0.9333333333333333,0.9333333333333333,0.9983214285714286
UC4_P30,run-20251204-140947_uc10_p30_m2000_r10_s256_RELAY,0.7977666666666666,0.0,1595.5333333333333,1595.5333333333333,1600.0,0.0,239.7,59.625,317.0833333333333,567.125,844.0416666666666,1490.3333333333333,0.7083333333333334,1.7083333333333333,3.5416666666666665,5.375,7.333333333333333,1.0,4.142107347065463,63.46666666666667,0.13333333333333333,476.0,476.0,476.0,8.166666666666666,10.933333333333334,7406.966666666666,1.0,0.8,0.8,0.9972083333333334
UC4_P30,run-20251204-141342_uc10_p30_m2000_r10_s256_RELAY,0.8569,0.0,1713.8,1713.8,1733.3333333333333,0.0,254.4,55.76923076923077,276.5769230769231,512.8076923076923,971.6538461538462,4349.7307692307695,0.4230769230769231,1.4615384615384615,3.230769230769231,5.038461538461538,7.346153846153846,1.0,3.851453818881237,217.96666666666667,0.23333333333333334,1132.8,1132.8,1132.8,9.033333333333333,12.0,7981.033333333334,1.0,0.8666666666666667,0.8666666666666667,0.9887307692307693
UC4_P30,run-20251204-141738_uc10_p30_m2000_r10_s256_RELAY,0.8618666666666667,0.0,1723.7333333333333,1723.7333333333333,1733.3333333333333,0.0,281.56666666666666,66.0,328.2307692307692,602.3461538461538,1018.6153846153846,1909.3846153846155,0.8076923076923077,1.6538461538461537,3.5,5.538461538461538,7.384615384615385,1.0,4.203820816078944,47.43333333333333,0.1,474.3333333333333,474.3333333333333,474.3333333333333,7.266666666666667,10.3,6940.7,1.0,0.8666666666666667,0.8666666666666667,0.9944615384615385
UC4_P30,run-20251204-142134_uc10_p30_m2000_r10_s256_RELAY,0.7274333333333334,0.0,1454.8666666666666,1454.8666666666666,1466.6666666666667,0.0,213.0,64.0909090909091,278.59090909090907,531.2727272727273,999.6363636363636,2159.7272727272725,0.6363636363636364,1.3181818181818181,3.0454545454545454,4.909090909090909,6.954545454545454,1.0,4.040415319056884,223.66666666666666,0.1,2236.6666666666665,2236.6666666666665,2236.6666666666665,5.366666666666666,7.966666666666667,10757.0,1.0,0.7333333333333333,0.7333333333333333,0.9919545454545454
