uc,run,rt_avg_ms
UC4_P10,run-20251203-002110_uc10_p10_m2000_r10_s256_RELAY,9810.57142857143
UC4_P10,run-20251203-002457_uc10_p10_m2000_r10_s256_RELAY,13788.0
UC4_P10,run-20251203-002844_uc10_p10_m2000_r10_s256_RELAY,12991.444444444445
UC4_P10,run-20251203-003230_uc10_p10_m2000_r10_s256_RELAY,508.1111111111111
UC4_P10,run-20251203-003617_uc10_p10_m2000_r10_s256_RELAY,956.1428571428571
UC4_P10,run-20251203-004004_uc10_p10_m2000_r10_s256_RELAY,11532.714285714286
UC4_P10,run-20251203-004350_uc10_p10_m2000_r10_s256_RELAY,662.1428571428571
UC4_P10,run-20251203-004737_uc10_p10_m2000_r10_s256_RELAY,8784.444444444445
UC4_P10,run-20251203-005124_uc10_p10_m2000_r10_s256_RELAY,15319.0
UC4_P10,run-20251203-005512_uc10_p10_m2000_r10_s256_RELAY,893.5
UC4_P20,run-20251203-000124_uc10_p20_m2000_r10_s256_RELAY,10807.0625
UC4_P20,run-20251203-000513_uc10_p20_m2000_r10_s256_RELAY,1340.3076923076924
UC4_P20,run-20251203-000902_uc10_p20_m2000_r10_s256_RELAY,2129.8571428571427
UC4_P20,run-20251203-001251_uc10_p20_m2000_r10_s256_RELAY,
UC4_P20,run-20251203-001335_uc10_p20_m2000_r10_s256_RELAY,
UC4_P20,run-20251203-001418_uc10_p20_m2000_r10_s256_RELAY,
UC4_P20,run-20251203-001501_uc10_p20_m2000_r10_s256_RELAY,
UC4_P20,run-20251203-001545_uc10_p20_m2000_r10_s256_RELAY,
UC4_P20,run-20251203-001628_uc10_p20_m2000_r10_s256_RELAY,
UC4_P20,run-20251203-001711_uc10_p20_m2000_r10_s256_RELAY,5491.6
UC4_P30,run-20251202-232131_uc10_p30_m2000_r10_s256_RELAY,1835.608695652174
UC4_P30,run-20251202-232522_uc10_p30_m2000_r10_s256_RELAY,4569.791666666667
UC4_P30,run-20251202-232912_uc10_p30_m2000_r10_s256_RELAY,5623.333333333333
UC4_P30,run-20251202-233303_uc10_p30_m2000_r10_s256_RELAY,1343.037037037037
UC4_P30,run-20251202-233654_uc10_p30_m2000_r10_s256_RELAY,3983.777777777778
UC4_P30,run-20251202-234045_uc10_p30_m2000_r10_s256_RELAY,14082.8
UC4_P30,run-20251202-234435_uc10_p30_m2000_r10_s256_RELAY,2372.9444444444443
UC4_P30,run-20251202-234827_uc10_p30_m2000_r10_s256_RELAY,7568.038461538462
UC4_P30,run-20251202-235217_uc10_p30_m2000_r10_s256_RELAY,5596.541666666667
UC4_P30,run-20251202-235608_uc10_p30_m2000_r10_s256_RELAY,2777.793103448276
UC4_P40,run-20251202-224041_uc10_p40_m2000_r10_s256_RELAY,2439.448275862069
UC4_P40,run-20251202-224442_uc10_p40_m2000_r10_s256_RELAY,3166.4193548387098
UC4_P40,run-20251202-224834_uc10_p40_m2000_r10_s256_RELAY,4492.366666666667
UC4_P40,run-20251202-225227_uc10_p40_m2000_r10_s256_RELAY,4817.76
UC4_P40,run-20251202-225621_uc10_p40_m2000_r10_s256_RELAY,1605.4848484848485
UC4_P40,run-20251202-230014_uc10_p40_m2000_r10_s256_RELAY,2194.5151515151515
UC4_P40,run-20251202-230407_uc10_p40_m2000_r10_s256_RELAY,973.2222222222222
UC4_P40,run-20251202-230800_uc10_p40_m2000_r10_s256_RELAY,3350.8
UC4_P40,run-20251202-231154_uc10_p40_m2000_r10_s256_RELAY,6377.6
UC4_P40,run-20251202-231547_uc10_p40_m2000_r10_s256_RELAY,4081.1666666666665
UC4_P50,run-20251202-220056_uc10_p50_m2000_r10_s256_RELAY,1689.2926829268292
UC4_P50,run-20251202-220450_uc10_p50_m2000_r10_s256_RELAY,2189.5555555555557
UC4_P50,run-20251202-220845_uc10_p50_m2000_r10_s256_RELAY,1693.0263157894738
UC4_P50,run-20251202-221239_uc10_p50_m2000_r10_s256_RELAY,1818.9166666666667
UC4_P50,run-20251202-221636_uc10_p50_m2000_r10_s256_RELAY,4727.4
UC4_P50,run-20251202-222031_uc10_p50_m2000_r10_s256_RELAY,
UC4_P50,run-20251202-222121_uc10_p50_m2000_r10_s256_RELAY,1218.6190476190477
UC4_P50,run-20251202-222516_uc10_p50_m2000_r10_s256_RELAY,3342.4473684210525
UC4_P50,run-20251202-222911_uc10_p50_m2000_r10_s256_RELAY,1464.5365853658536
UC4_P50,run-20251202-223307_uc10_p50_m2000_r10_s256_RELAY,1621.906976744186
