uc,run,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms
UC6_P50_C30,run-20251214-181233_uc6_p50_c30_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P50_C30,run-20251214-181629_uc6_p50_c30_m2000_r10_s256_RELAY,77.46,0.84,121.34782608695652,166.08695652173913,166.08695652173913
UC6_P50_C30,run-20251214-182047_uc6_p50_c30_m2000_r10_s256_RELAY,3.94,0.48,9.933333333333334,12.0,12.0
UC6_P50_C30,run-20251214-182442_uc6_p50_c30_m2000_r10_s256_RELAY,25.14,0.64,48.2,48.2,48.2
UC6_P50_C30,run-20251214-182900_uc6_p50_c30_m2000_r10_s256_RELAY,0.06,0.02,3.0,3.0,3.0
UC6_P50_C30,run-20251214-183256_uc6_p50_c30_m2000_r10_s256_RELAY,1192.26,0.46,3311.8333333333335,3311.8333333333335,3311.8333333333335
UC6_P50_C30,run-20251214-183652_uc6_p50_c30_m2000_r10_s256_RELAY,10.72,0.7,19.695652173913043,21.26086956521739,21.26086956521739
UC6_P50_C30,run-20251214-184110_uc6_p50_c30_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P50_C30,run-20251214-184505_uc6_p50_c30_m2000_r10_s256_RELAY,6.66,0.5,16.36842105263158,16.36842105263158,16.36842105263158
UC6_P50_C30,run-20251214-184901_uc6_p50_c30_m2000_r10_s256_RELAY,95.34,0.86,74.25,165.96428571428572,165.96428571428572
