uc,avg_joined_ratio,std_joined_ratio,min_joined_ratio,max_joined_ratio,avg_saw_test_ratio,std_saw_test_ratio,min_saw_test_ratio,max_saw_test_ratio,runs_with_full_join,runs_with_any_miss,total_runs,valid_runs
UC6_P10_C10,0.9777777777777779,0.06666666666666665,0.8,1.0,0.9777777777777779,0.06666666666666665,0.8,1.0,8,1,10,9
UC6_P10_C20,0.9125,0.1642080561796093,0.6,1.0,0.9125,0.1642080561796093,0.6,1.0,6,2,10,8
UC6_P10_C30,0.8875,0.31819805153394637,0.1,1.0,0.8875,0.31819805153394637,0.1,1.0,7,1,10,8
UC6_P50_C10,0.9866666666666668,0.033166247903554,0.9,1.0,0.98,0.031622776601683784,0.9,1.0,7,2,10,9
UC6_P50_C20,0.995,0.01,0.98,1.0,0.99,0.011547005383792526,0.98,1.0,3,1,10,4
UC6_P50_C30,0.995,0.01000000000000002,0.98,1.0,0.995,0.01000000000000002,0.98,1.0,3,1,10,4
