uc,total_runs,mean_convergence_s,std_convergence_s,min_s,max_s
UC1_P10,10,202.5522338095238,0.20662758617219765,202.347,202.889
UC2_P10,10,202.79231,0.07732009153872371,202.7025,202.9087
