uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,convergence_time_ms,pr_avg_ratio,rt_avg_ms,rt_p50_ms,rt_p90_ms,rt_max_ms,disconnect_events,reconnect_events,reconnect_samples,join_wait_ms,sender_joined
UC1_P10,run-20251130-191904_uc1_p10_m2000_r10_s256_DIRECT,0.99975,0.0,1999.5,1999.5,2000.0,0.0,0.0,0.0,1.0,1.0,1.4,3.7,0.6,0.7,0.7,0.7,1.2,202347.0,1.0,174.16666666666666,174.16666666666666,174.16666666666666,174.16666666666666,2.9,2.8,0.6,1429.4,1.0
UC1_P10,run-20251130-192239_uc1_p10_m2000_r10_s256_DIRECT,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.0,1.2,1.9,7.4,1.4,1.6,1.6,1.6,2.4,202406.0,1.0,68.85714285714286,124.0,124.0,124.0,3.2,3.0,1.0,719.6,1.0
UC1_P10,run-20251130-192612_uc1_p10_m2000_r10_s256_DIRECT,0.9996500000000001,0.0,1999.3,1999.3,2000.0,0.0,0.0,0.0,1.0,1.1,1.5,2.4,0.6,0.6,0.6,0.6,0.7,202507.66666666666,1.0,9594.166666666666,9594.166666666666,9594.166666666666,9594.166666666666,3.2,3.1,0.6,2979.9,1.0
UC1_P10,run-20251130-192948_uc1_p10_m2000_r10_s256_DIRECT,0.99975,0.0,1999.5,1999.5,2000.0,0.0,0.0,0.0,0.9,1.0,1.5,4.0,0.5,0.5,0.5,0.5,0.9,202616.6,1.0,11486.2,11495.8,11495.8,11495.8,3.4,3.2,0.6,2928.3,1.0
UC1_P10,run-20251130-193323_uc1_p10_m2000_r10_s256_DIRECT,0.9997,0.0,1999.4,1999.4,2000.0,0.0,0.0,0.0,0.5,1.0,1.5,2.2,0.6,0.7,0.7,0.7,0.9,202399.5,1.0,91.25,91.25,91.25,91.25,3.2,2.9,0.4,4848.8,1.0
UC1_P10,run-20251130-193701_uc1_p10_m2000_r10_s256_DIRECT,0.9995499999999999,0.0,1999.1,1999.1,2000.0,0.0,0.0,0.0,0.7,1.0,1.3,2.0,0.7,0.7,0.7,0.7,0.7,202369.0,1.0,87.33333333333333,87.33333333333333,87.33333333333333,87.33333333333333,3.4,3.3,0.6,3800.9,1.0
UC1_P10,run-20251130-194038_uc1_p10_m2000_r10_s256_DIRECT,0.99975,0.0,1999.5,1999.5,2000.0,0.0,0.0,0.0,1.0,1.0,1.3,2.2,0.4,0.6,0.6,0.6,0.9,202398.0,1.0,84.16666666666667,92.5,92.5,92.5,3.1,2.7,0.7,8040.1,1.0
UC1_P10,run-20251130-194418_uc1_p10_m2000_r10_s256_DIRECT,0.8999499999999999,0.0,1799.9,1799.9,2000.0,0.0,0.0,0.3,1.2,1.3,1.8,6.9,0.7,0.7,0.7,0.7,1.5,202832.57142857142,1.0,58.142857142857146,64.57142857142857,64.57142857142857,64.57142857142857,4.1,4.0,0.8,3744.5,1.0
UC1_P10,run-20251130-194755_uc1_p10_m2000_r10_s256_DIRECT,0.9995499999999999,0.0,1999.1,1999.1,2000.0,0.0,0.0,0.0,1.0,1.1,1.5,2.0,0.5,0.6,0.6,0.6,0.6,202757.0,1.0,86.0,86.0,86.0,86.0,4.1,3.8,0.5,2166.5,1.0
UC1_P10,run-20251130-195130_uc1_p10_m2000_r10_s256_DIRECT,0.99975,0.0,1999.5,1999.5,2000.0,0.0,0.0,0.0,1.0,1.0,1.6,2.1,0.5,0.6,0.6,0.6,0.7,202889.0,1.0,91.0,91.0,91.0,91.0,3.1,2.7,0.3,1414.1,1.0
UC3_P10,run-20251201-015737_uc3_p10_m2000_r10_s256_DIRECT,0.99075,0.0,1981.5,1981.5,2000.0,0.0,239.5,45.4,183.4,384.5,602.6,999.5,0.4,0.8,2.2,3.3,4.9,202201.0,1.0,3305.25,5515.5,5550.5,5550.5,2.1,1.9,1.5,4472.2,1.0
UC3_P10,run-20251201-020122_uc3_p10_m2000_r10_s256_DIRECT,0.99265,0.0,1985.3,1985.3,2000.0,0.0,172.0,31.2,130.7,324.2,530.2,877.4,0.4,1.0,1.6,2.8,3.8,202171.0,1.0,12884.4,12583.5,13915.2,13915.2,3.5,2.9,2.5,2972.6,1.0
UC3_P10,run-20251201-020506_uc3_p10_m2000_r10_s256_DIRECT,0.9900499999999999,0.0,1980.1,1980.1,2000.0,0.0,180.9,37.9,185.6,435.3,733.8,1128.4,0.1,1.0,2.1,3.5,4.5,202313.0,1.0,1480.0,1300.0,2107.1111111111113,2107.1111111111113,2.9,2.1,1.8,2738.7,1.0
UC3_P10,run-20251201-020849_uc3_p10_m2000_r10_s256_DIRECT,0.99265,0.0,1985.3,1985.3,2000.0,0.0,249.4,40.3,197.8,419.9,694.2,1150.2,0.3,0.8,2.2,3.4,5.0,202251.0,1.0,4664.25,1007.25,13328.125,13328.125,2.5,2.4,2.1,4919.5,1.0
UC3_P10,run-20251201-021234_uc3_p10_m2000_r10_s256_DIRECT,0.88125,0.0,1762.5,1762.5,1800.0,0.0,192.6,41.111111111111114,157.66666666666666,359.3333333333333,569.0,862.7777777777778,0.2222222222222222,0.4444444444444444,1.8888888888888888,3.0,4.222222222222222,202399.0,1.0,10544.5,11952.0,24708.375,24708.375,2.6,2.2,1.6,8222.1,1.0
UC3_P10,run-20251201-021618_uc3_p10_m2000_r10_s256_DIRECT,0.8861000000000001,0.0,1772.2,1772.2,1800.0,0.0,171.5,39.55555555555556,176.88888888888889,387.3333333333333,620.2222222222222,1002.8888888888889,0.4444444444444444,1.0,2.2222222222222223,3.2222222222222223,4.222222222222222,202729.0,1.0,11291.0,11660.0,22974.0,22974.0,1.9,1.6,1.5,8208.2,1.0
UC3_P10,run-20251201-022004_uc3_p10_m2000_r10_s256_DIRECT,0.89695,0.0,1793.9,1793.9,1800.0,0.0,205.7,41.77777777777778,180.88888888888889,387.77777777777777,635.2222222222222,1098.4444444444443,0.2222222222222222,0.6666666666666666,2.0,3.0,4.333333333333333,,1.0,749.0,1143.5714285714287,1160.7142857142858,1160.7142857142858,1.6,1.2,1.1,5949.1,1.0
UC3_P10,run-20251201-022350_uc3_p10_m2000_r10_s256_DIRECT,0.89155,0.0,1783.1,1783.1,1800.0,0.0,122.9,31.444444444444443,144.55555555555554,401.6666666666667,1447.7777777777778,2030.888888888889,0.3333333333333333,0.5555555555555556,1.0,2.111111111111111,3.4444444444444446,202277.0,1.0,13982.142857142857,624.1428571428571,51390.857142857145,51390.857142857145,2.0,1.9,1.6,5395.5,1.0
UC3_P10,run-20251201-022734_uc3_p10_m2000_r10_s256_DIRECT,0.9941000000000001,0.0,1988.2,1988.2,2000.0,0.0,209.4,38.2,169.6,377.8,590.5,950.3,0.3,0.6,1.8,3.3,5.0,202379.0,1.0,974.0,1243.142857142857,1992.7142857142858,1992.7142857142858,3.4,2.9,2.3,4802.9,1.0
UC3_P10,run-20251201-023120_uc3_p10_m2000_r10_s256_DIRECT,0.9947000000000001,0.0,1989.4,1989.4,2000.0,0.0,208.7,35.9,138.3,317.8,516.1,872.2,0.1,0.3,1.7,2.9,4.3,202174.0,1.0,1597.4444444444443,482.22222222222223,7816.555555555556,7816.555555555556,3.3,2.8,2.7,1829.3,1.0
