uc,run,pr_avg_ratio
UC3_P40,run-20251204-093601_uc9_p40_m2000_r10_s256_DIRECT,1.0
UC3_P40,run-20251204-094352_uc9_p40_m2000_r10_s256_DIRECT,1.0
UC3_P40,run-20251204-094748_uc9_p40_m2000_r10_s256_DIRECT,1.0
UC3_P40,run-20251204-095143_uc9_p40_m2000_r10_s256_DIRECT,1.0
UC3_P40,run-20251204-095539_uc9_p40_m2000_r10_s256_DIRECT,1.0
UC3_P40,run-20251204-095935_uc9_p40_m2000_r10_s256_DIRECT,1.0
UC3_P40,run-20251204-100331_uc9_p40_m2000_r10_s256_DIRECT,1.0
UC3_P40,run-20251204-100727_uc9_p40_m2000_r10_s256_DIRECT,1.0
UC3_P40,run-20251204-101125_uc9_p40_m2000_r10_s256_DIRECT,1.0
UC3_P40,run-20251204-101521_uc9_p40_m2000_r10_s256_DIRECT,1.0
UC3_P50,run-20251204-103411_uc9_p50_m2000_r10_s256_DIRECT,1.0
UC3_P50,run-20251204-103810_uc9_p50_m2000_r10_s256_DIRECT,1.0
UC3_P50,run-20251204-104210_uc9_p50_m2000_r10_s256_DIRECT,1.0
UC3_P50,run-20251204-104609_uc9_p50_m2000_r10_s256_DIRECT,1.0
UC3_P50,run-20251204-105009_uc9_p50_m2000_r10_s256_DIRECT,1.0
UC3_P50,run-20251204-105411_uc9_p50_m2000_r10_s256_DIRECT,1.0
UC3_P50,run-20251204-105812_uc9_p50_m2000_r10_s256_DIRECT,1.0
UC3_P50,run-20251204-110211_uc9_p50_m2000_r10_s256_DIRECT,1.0
UC3_P50,run-20251204-110612_uc9_p50_m2000_r10_s256_DIRECT,1.0
UC3_P50,run-20251204-111011_uc9_p50_m2000_r10_s256_DIRECT,1.0
UC4_P40,run-20251205-003550_uc10_p40_m2000_r10_s256_RELAY,1.0
UC4_P40,run-20251205-003946_uc10_p40_m2000_r10_s256_RELAY,1.0
UC4_P40,run-20251205-004340_uc10_p40_m2000_r10_s256_RELAY,1.0
UC4_P40,run-20251205-004733_uc10_p40_m2000_r10_s256_RELAY,1.0
UC4_P40,run-20251205-005127_uc10_p40_m2000_r10_s256_RELAY,1.0
UC4_P40,run-20251205-005520_uc10_p40_m2000_r10_s256_RELAY,1.0
UC4_P40,run-20251205-005913_uc10_p40_m2000_r10_s256_RELAY,1.0
UC4_P40,run-20251205-010306_uc10_p40_m2000_r10_s256_RELAY,1.0
UC4_P40,run-20251205-010700_uc10_p40_m2000_r10_s256_RELAY,1.0
UC4_P40,run-20251205-011054_uc10_p40_m2000_r10_s256_RELAY,1.0
UC4_P50,run-20251205-202651_uc10_p50_m2000_r10_s256_RELAY,1.0
UC4_P50,run-20251205-203059_uc10_p50_m2000_r10_s256_RELAY,1.0
UC4_P50,run-20251205-203503_uc10_p50_m2000_r10_s256_RELAY,1.0
UC4_P50,run-20251205-203907_uc10_p50_m2000_r10_s256_RELAY,1.0
UC4_P50,run-20251205-204309_uc10_p50_m2000_r10_s256_RELAY,1.0
UC4_P50,run-20251205-204713_uc10_p50_m2000_r10_s256_RELAY,1.0
UC4_P50,run-20251205-205112_uc10_p50_m2000_r10_s256_RELAY,1.0
UC4_P50,run-20251205-205517_uc10_p50_m2000_r10_s256_RELAY,1.0
UC4_P50,run-20251205-205923_uc10_p50_m2000_r10_s256_RELAY,1.0
UC4_P50,run-20251205-210321_uc10_p50_m2000_r10_s256_RELAY,1.0
UC4_P50,run-20251205-211913_uc10_p50_m2000_r10_s256_RELAY,1.0
UC4_P50,run-20251205-212320_uc10_p50_m2000_r10_s256_RELAY,1.0
UC4_P50,run-20251205-212718_uc10_p50_m2000_r10_s256_RELAY,1.0
UC4_P50,run-20251205-213115_uc10_p50_m2000_r10_s256_RELAY,1.0
UC4_P50,run-20251205-213513_uc10_p50_m2000_r10_s256_RELAY,1.0
UC4_P50,run-20251205-213911_uc10_p50_m2000_r10_s256_RELAY,1.0
UC4_P50,run-20251205-214307_uc10_p50_m2000_r10_s256_RELAY,1.0
UC4_P50,run-20251205-214705_uc10_p50_m2000_r10_s256_RELAY,1.0
UC4_P50,run-20251205-215103_uc10_p50_m2000_r10_s256_RELAY,1.0
UC4_P50,run-20251205-215501_uc10_p50_m2000_r10_s256_RELAY,1.0
