uc,run,out_of_order
UC3_P10,run-20251201-173058_uc3_p10_m2000_r10_s256_DIRECT,209.8
UC3_P10,run-20251201-173444_uc3_p10_m2000_r10_s256_DIRECT,234.6
UC3_P10,run-20251201-173829_uc3_p10_m2000_r10_s256_DIRECT,216.5
UC3_P10,run-20251201-174216_uc3_p10_m2000_r10_s256_DIRECT,219.0
UC3_P10,run-20251201-174603_uc3_p10_m2000_r10_s256_DIRECT,231.5
UC3_P10,run-20251201-174948_uc3_p10_m2000_r10_s256_DIRECT,218.9
UC3_P10,run-20251201-175334_uc3_p10_m2000_r10_s256_DIRECT,230.8
UC3_P10,run-20251201-175720_uc3_p10_m2000_r10_s256_DIRECT,154.8
UC3_P10,run-20251201-180105_uc3_p10_m2000_r10_s256_DIRECT,242.5
UC3_P10,run-20251201-180451_uc3_p10_m2000_r10_s256_DIRECT,222.1
UC3_P20,run-20251201-181107_uc3_p20_m2000_r10_s256_DIRECT,238.6
UC3_P20,run-20251201-181456_uc3_p20_m2000_r10_s256_DIRECT,260.8
UC3_P20,run-20251201-181845_uc3_p20_m2000_r10_s256_DIRECT,268.15
UC3_P20,run-20251201-182236_uc3_p20_m2000_r10_s256_DIRECT,300.4
UC3_P20,run-20251201-182624_uc3_p20_m2000_r10_s256_DIRECT,173.75
UC3_P20,run-20251201-183013_uc3_p20_m2000_r10_s256_DIRECT,259.55
UC3_P20,run-20251201-183403_uc3_p20_m2000_r10_s256_DIRECT,251.1
UC3_P20,run-20251201-183753_uc3_p20_m2000_r10_s256_DIRECT,237.95
UC3_P20,run-20251201-184141_uc3_p20_m2000_r10_s256_DIRECT,282.9
UC3_P20,run-20251201-184530_uc3_p20_m2000_r10_s256_DIRECT,237.55
UC3_P30,run-20251201-185016_uc3_p30_m2000_r10_s256_DIRECT,250.43333333333334
UC3_P30,run-20251201-185409_uc3_p30_m2000_r10_s256_DIRECT,260.1666666666667
UC3_P30,run-20251201-185801_uc3_p30_m2000_r10_s256_DIRECT,276.5
UC3_P30,run-20251201-190154_uc3_p30_m2000_r10_s256_DIRECT,216.63333333333333
UC3_P30,run-20251201-190546_uc3_p30_m2000_r10_s256_DIRECT,289.03333333333336
UC3_P30,run-20251201-190940_uc3_p30_m2000_r10_s256_DIRECT,281.26666666666665
UC3_P30,run-20251201-191333_uc3_p30_m2000_r10_s256_DIRECT,251.26666666666668
UC3_P30,run-20251201-191725_uc3_p30_m2000_r10_s256_DIRECT,288.1333333333333
UC3_P30,run-20251201-192118_uc3_p30_m2000_r10_s256_DIRECT,265.56666666666666
UC3_P30,run-20251201-192511_uc3_p30_m2000_r10_s256_DIRECT,307.06666666666666
UC3_P40,run-20251201-193019_uc3_p40_m2000_r10_s256_DIRECT,293.075
UC3_P40,run-20251201-193416_uc3_p40_m2000_r10_s256_DIRECT,269.15
UC3_P40,run-20251201-193812_uc3_p40_m2000_r10_s256_DIRECT,298.725
UC3_P40,run-20251201-194209_uc3_p40_m2000_r10_s256_DIRECT,311.375
UC3_P40,run-20251201-194605_uc3_p40_m2000_r10_s256_DIRECT,295.1
UC3_P40,run-20251201-195002_uc3_p40_m2000_r10_s256_DIRECT,205.8
UC3_P40,run-20251201-195358_uc3_p40_m2000_r10_s256_DIRECT,176.55
UC3_P40,run-20251201-195755_uc3_p40_m2000_r10_s256_DIRECT,301.225
UC3_P40,run-20251201-200151_uc3_p40_m2000_r10_s256_DIRECT,244.8
UC3_P40,run-20251201-200548_uc3_p40_m2000_r10_s256_DIRECT,291.075
UC3_P50,run-20251201-201129_uc3_p50_m2000_r10_s256_DIRECT,194.7
UC3_P50,run-20251201-201529_uc3_p50_m2000_r10_s256_DIRECT,310.22
UC3_P50,run-20251201-201929_uc3_p50_m2000_r10_s256_DIRECT,203.22
UC3_P50,run-20251201-202329_uc3_p50_m2000_r10_s256_DIRECT,260.8
UC3_P50,run-20251201-202729_uc3_p50_m2000_r10_s256_DIRECT,309.22
UC3_P50,run-20251201-203129_uc3_p50_m2000_r10_s256_DIRECT,294.78
UC3_P50,run-20251201-203529_uc3_p50_m2000_r10_s256_DIRECT,284.06
UC3_P50,run-20251201-203929_uc3_p50_m2000_r10_s256_DIRECT,206.5
UC3_P50,run-20251201-204333_uc3_p50_m2000_r10_s256_DIRECT,242.54
UC3_P50,run-20251201-204734_uc3_p50_m2000_r10_s256_DIRECT,234.04
