uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,convergence_time_ms,pr_avg_ratio,rt_avg_ms,rt_p50_ms,rt_p90_ms,rt_max_ms,disconnect_events,reconnect_events,reconnect_samples,join_wait_ms,sender_joined,joined,saw_test,convergence_time_s,delivery_rate_joined_only,reconnect_samples_joined_only
UC3_P10,run-20251201-173058_uc3_p10_m2000_r10_s256_DIRECT,0.9923500000000001,0.0,1984.7,1984.7,2000.0,0.0,209.8,50.3,175.2,365.2,555.2,895.3,0.4,0.9,2.2,3.3,4.2,202543.0,1.0,8808.42857142857,8940.42857142857,9425.714285714286,9425.714285714286,2.0,1.6,1.4,2371.8,1.0,1.0,1.0,202.543,0.9923500000000001,1.4
UC3_P10,run-20251201-173444_uc3_p10_m2000_r10_s256_DIRECT,0.9884999999999999,0.0,1977.0,1977.0,2000.0,0.0,234.6,37.4,181.7,390.6,630.9,959.4,0.3,0.9,2.1,3.4,4.4,202654.0,1.0,8303.125,10293.25,10296.125,10296.125,1.8,1.6,1.4,3077.2,1.0,1.0,1.0,202.654,0.9884999999999999,1.4
UC3_P10,run-20251201-173829_uc3_p10_m2000_r10_s256_DIRECT,0.9916,0.0,1983.2,1983.2,2000.0,0.0,216.5,46.2,174.5,375.2,573.1,855.2,0.3,0.9,2.0,3.5,4.7,,1.0,9386.857142857143,1201.2857142857142,26306.0,26306.0,2.5,2.2,1.9,3190.7,1.0,1.0,1.0,,0.9916,1.9
UC3_P10,run-20251201-174216_uc3_p10_m2000_r10_s256_DIRECT,0.98675,0.0,1973.5,1973.5,2000.0,0.0,219.0,40.7,147.2,331.5,533.1,861.3,0.2,0.5,1.9,3.2,4.1,202861.0,1.0,19780.625,15442.875,29759.625,29759.625,1.8,1.8,1.6,5123.6,1.0,1.0,1.0,202.861,0.98675,1.6
UC3_P10,run-20251201-174603_uc3_p10_m2000_r10_s256_DIRECT,0.98955,0.0,1979.1,1979.1,2000.0,0.0,231.5,42.8,189.4,409.3,661.4,1676.0,0.3,1.0,2.1,3.3,4.4,202422.0,1.0,4592.2,5262.9,5330.9,5330.9,2.4,1.8,1.8,2890.0,1.0,1.0,1.0,202.422,0.98955,1.8
UC3_P10,run-20251201-174948_uc3_p10_m2000_r10_s256_DIRECT,0.9914,0.0,1982.8,1982.8,2000.0,0.0,218.9,45.2,182.3,393.5,641.2,3602.6,0.3,0.8,2.2,3.4,4.5,202550.0,1.0,5226.777777777777,5319.777777777777,6296.111111111111,6311.666666666667,3.0,2.6,2.2,2619.9,1.0,1.0,1.0,202.55,0.9914,2.2
UC3_P10,run-20251201-175334_uc3_p10_m2000_r10_s256_DIRECT,0.9910500000000001,0.0,1982.1,1982.1,2000.0,0.0,230.8,45.2,168.2,370.1,577.0,963.0,0.3,0.6,2.1,3.3,4.3,202539.0,1.0,4748.111111111111,7257.888888888889,10976.333333333334,10976.333333333334,2.5,2.3,2.1,2558.8,1.0,1.0,1.0,202.539,0.9910500000000001,2.1
UC3_P10,run-20251201-175720_uc3_p10_m2000_r10_s256_DIRECT,0.98795,0.0,1975.9,1975.9,2000.0,0.0,154.8,31.2,111.7,299.0,538.3,970.6,0.4,0.8,1.5,2.6,3.4,202425.0,1.0,12154.42857142857,12145.857142857143,12374.714285714286,12374.714285714286,2.4,2.1,1.7,3099.6,1.0,1.0,1.0,202.425,0.98795,1.7
UC3_P10,run-20251201-180105_uc3_p10_m2000_r10_s256_DIRECT,0.9903000000000001,0.0,1980.6,1980.6,2000.0,0.0,242.5,38.6,179.8,372.4,566.7,865.9,0.1,0.6,2.0,3.4,4.9,,1.0,2179.8888888888887,1297.111111111111,7368.111111111111,7368.111111111111,3.3,2.7,2.4,2002.3,1.0,1.0,1.0,,0.9903000000000001,2.4
UC3_P10,run-20251201-180451_uc3_p10_m2000_r10_s256_DIRECT,0.9935,0.0,1987.0,1987.0,2000.0,0.0,222.1,46.2,176.8,389.1,632.9,1064.6,0.3,0.6,1.8,3.2,4.6,,1.0,2431.5555555555557,636.2222222222222,6542.777777777777,6542.777777777777,3.0,2.7,2.0,1864.0,1.0,1.0,1.0,,0.9935,2.0
UC3_P20,run-20251201-181107_uc3_p20_m2000_r10_s256_DIRECT,0.9432,0.0,1886.4,1886.4,1900.0,0.0,238.6,51.36842105263158,201.31578947368422,401.42105263157896,600.2631578947369,4956.1578947368425,0.47368421052631576,0.7894736842105263,2.3157894736842106,3.526315789473684,5.842105263157895,,1.0,4580.111111111111,2232.8888888888887,19100.444444444445,19150.277777777777,5.5,5.0,3.85,3531.25,1.0,0.95,0.95,,0.992842105263158,4.052631578947368
UC3_P20,run-20251201-181456_uc3_p20_m2000_r10_s256_DIRECT,0.94105,0.0,1882.1,1882.1,1900.0,0.0,260.8,59.526315789473685,283.8421052631579,558.3157894736842,862.1052631578947,6522.315789473684,0.631578947368421,1.263157894736842,2.8947368421052633,4.578947368421052,6.631578947368421,,1.0,3620.8333333333335,1396.1666666666667,10760.944444444445,15246.833333333334,5.25,5.05,4.05,3899.45,1.0,0.95,0.95,,0.9905789473684211,4.2631578947368425
UC3_P20,run-20251201-181845_uc3_p20_m2000_r10_s256_DIRECT,0.9902750000000001,0.0,1980.55,1980.55,2000.0,0.0,268.15,50.95,268.95,532.25,935.55,2687.65,0.3,1.2,2.85,4.45,6.55,,1.0,3600.8888888888887,1046.2777777777778,16041.777777777777,16971.166666666668,6.4,5.9,4.3,2270.4,1.0,1.0,1.0,,0.9902750000000001,4.3
UC3_P20,run-20251201-182236_uc3_p20_m2000_r10_s256_DIRECT,0.98935,0.0,1978.7,1978.7,2000.0,0.0,300.4,50.25,233.45,452.55,685.9,975.9,0.35,0.9,2.5,3.85,5.5,,1.0,5657.736842105263,4659.8421052631575,5964.894736842105,15670.578947368422,6.45,6.1,4.7,2210.15,1.0,1.0,1.0,,0.98935,4.7
UC3_P20,run-20251201-182624_uc3_p20_m2000_r10_s256_DIRECT,0.790575,0.0,1581.15,1581.15,1600.0,0.0,173.75,53.9375,269.375,526.6875,797.25,6010.8125,0.5,1.4375,3.0,4.875,6.5625,,1.0,1150.3846153846155,651.4615384615385,2388.923076923077,4652.461538461538,5.0,4.45,3.15,7697.95,1.0,0.8,0.8,,0.98821875,3.9375
UC3_P20,run-20251201-183013_uc3_p20_m2000_r10_s256_DIRECT,0.98295,0.0,1965.9,1965.9,2000.0,0.0,259.55,52.05,213.25,424.05,645.55,1376.35,0.35,1.05,2.6,4.25,5.8,,1.0,2388.2631578947367,1187.7894736842106,5281.105263157895,6658.473684210527,6.05,5.6,4.25,5754.25,1.0,1.0,1.0,,0.98295,4.25
UC3_P20,run-20251201-183403_uc3_p20_m2000_r10_s256_DIRECT,0.8912000000000001,0.0,1782.4,1782.4,1800.0,0.0,251.1,51.94444444444444,240.16666666666666,449.94444444444446,673.6111111111111,1449.0,0.3333333333333333,1.0555555555555556,2.5555555555555554,4.388888888888889,5.888888888888889,202421.0,1.0,6831.666666666667,806.2777777777778,26351.444444444445,27943.555555555555,6.3,6.1,4.85,5295.95,1.0,0.9,0.9,202.421,0.9902222222222223,5.388888888888889
UC3_P20,run-20251201-183753_uc3_p20_m2000_r10_s256_DIRECT,0.8397500000000001,0.0,1679.5,1679.5,1700.0,0.0,237.95,53.64705882352941,233.23529411764707,441.88235294117646,678.3529411764706,1856.4705882352941,0.4117647058823529,1.2941176470588236,2.823529411764706,4.470588235294118,6.176470588235294,,1.0,5290.125,4941.4375,5563.125,9332.625,5.45,4.95,3.45,6972.1,1.0,0.85,0.85,,0.9879411764705883,4.0588235294117645
UC3_P20,run-20251201-184141_uc3_p20_m2000_r10_s256_DIRECT,0.888325,0.0,1776.65,1776.65,1800.0,0.0,282.9,67.61111111111111,415.44444444444446,793.7222222222222,1241.7777777777778,1809.5555555555557,0.6111111111111112,1.7777777777777777,3.2222222222222223,5.444444444444445,7.055555555555555,,1.0,6663.666666666667,10103.444444444445,10907.833333333334,17815.222222222223,4.5,4.1,3.35,5795.75,1.0,0.9,0.9,,0.9870277777777778,3.7222222222222223
UC3_P20,run-20251201-184530_uc3_p20_m2000_r10_s256_DIRECT,0.9311999999999999,0.0,1862.4,1862.4,1900.0,0.0,237.55,48.68421052631579,297.2631578947368,590.3684210526316,949.7368421052631,1538.8947368421052,0.47368421052631576,1.3157894736842106,2.8947368421052633,4.684210526315789,6.631578947368421,202616.0,1.0,4514.526315789473,2721.4210526315787,13375.578947368422,16087.842105263158,6.1,5.75,4.7,5860.7,1.0,0.95,0.95,202.616,0.9802105263157894,4.947368421052632
UC3_P30,run-20251201-185016_uc3_p30_m2000_r10_s256_DIRECT,0.8896666666666667,0.0,1779.3333333333333,1779.3333333333333,1800.0,0.0,250.43333333333334,59.22222222222222,244.96296296296296,469.4074074074074,847.0370370370371,3380.5555555555557,0.5185185185185185,1.1851851851851851,2.8518518518518516,4.7407407407407405,7.592592592592593,,1.0,3138.5185185185187,744.8518518518518,11284.888888888889,14383.481481481482,7.433333333333334,7.066666666666666,5.033333333333333,5860.233333333334,1.0,0.9,0.9,,0.9885185185185186,5.592592592592593
UC3_P30,run-20251201-185409_uc3_p30_m2000_r10_s256_DIRECT,0.8884666666666666,0.0,1776.9333333333334,1776.9333333333334,1800.0,0.0,260.1666666666667,66.03703703703704,339.0740740740741,625.2592592592592,1025.851851851852,3711.3333333333335,0.6296296296296297,1.8148148148148149,3.7037037037037037,5.481481481481482,7.814814814814815,,1.0,4701.62962962963,3327.4444444444443,13371.148148148148,20386.925925925927,7.433333333333334,7.066666666666666,5.3,5443.966666666666,1.0,0.9,0.9,,0.9871851851851852,5.888888888888889
UC3_P30,run-20251201-185801_uc3_p30_m2000_r10_s256_DIRECT,0.9566666666666667,0.0,1913.3333333333333,1913.3333333333333,1933.3333333333333,0.0,276.5,63.827586206896555,306.8965517241379,568.2413793103449,868.7586206896551,1756.3793103448277,0.6551724137931034,1.7241379310344827,3.4482758620689653,5.275862068965517,7.241379310344827,,1.0,4535.777777777777,3606.6666666666665,5701.037037037037,11228.962962962964,7.066666666666666,6.5,4.566666666666666,3340.133333333333,1.0,0.9666666666666667,0.9666666666666667,,0.9896551724137931,4.724137931034483
