uc,total_runs,mean_convergence_s,std_convergence_s,min_s,max_s
UC3_P10,7,202.5705714285714,0.15097114199171896,202.422,202.861
UC3_P20,2,202.51850000000002,0.137885822331382,202.421,202.616
UC3_P30,1,202.468,,202.468,202.468
UC3_P40,1,202.597,,202.597,202.597
UC3_P50,0,,,,
