uc,total_runs,mean_delivery_rate,std_delivery_rate,min_rate,max_rate
UC1_P10,10,0.999735,0.00010287532908004817,0.9996500000000001,1.0
UC1_P20,9,0.9768833333333333,0.02608300152877352,0.9487,0.9993000000000001
UC1_P30,9,0.9916131408502099,0.015137944659116798,0.9648103448275862,0.9996964285714286
UC1_P40,10,0.9909047586351534,0.012618941850005063,0.9723684210526317,0.9992631578947369
UC1_P50,9,0.9898122066330901,0.011093503503082275,0.9776354166666668,0.99959375
UC2_P10,10,1.0,0.0,1.0,1.0
UC2_P20,9,0.9996138888888889,0.0009616969954778368,0.9971,1.0
UC2_P30,9,0.9995796296296297,0.0008344067161170402,0.9980666666666667,1.0
UC2_P40,7,0.999444642857143,0.0009903665446980088,0.9975625000000001,1.0
UC2_P50,10,0.993689,0.013223845843357738,0.96098,1.0
