received_unique,recv_total,total_expected,delivery_rate,duplicate_rate,duplicates,out_of_order,lagged_events,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,pr_avg_ratio,avg_connected_peers,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms,neighbour_down,neighbour_up,joined,join_wait_ms,saw_test,timed_out_no_data,peer,uc,run,sender_joined
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,1.0,0.0,0,0,,,,0,0,False,30007,False,True,peer1,UC1_P40,run-20251203-224549_uc7_p40_m2000_r10_s256_DIRECT,True
1936,1936,2000,0.968,0.0,0,0,0,0.0,1.0,2.0,3.0,50.0,0.0,0.0,0.0,0.0,4.0,1.0,3.985574017048456,0,0,,,,67,69,True,9787,True,False,peer10,UC1_P40,run-20251203-224549_uc7_p40_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,3.0,4.0,6.0,33.0,2.0,2.0,2.0,4.0,4.0,1.0,4.9992623804825875,0,0,,,,7,11,True,2448,True,False,peer11,UC1_P40,run-20251203-224549_uc7_p40_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,3.0,4.0,6.0,39.0,2.0,2.0,2.0,2.0,2.0,1.0,3.9681893423461223,0,0,,,,7,10,True,2461,True,False,peer12,UC1_P40,run-20251203-224549_uc7_p40_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,2.0,3.0,5.0,30.0,1.0,1.0,1.0,3.0,3.0,1.0,2.063043628569453,0,0,,,,7,9,True,2480,True,False,peer13,UC1_P40,run-20251203-224549_uc7_p40_m2000_r10_s256_DIRECT,True
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,1.0,3.9700065919578114,0,0,,,,64,68,True,2938,False,True,peer14,UC1_P40,run-20251203-224549_uc7_p40_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,2.0,3.0,5.0,41.0,1.0,1.0,1.0,1.0,1.0,1.0,4.999714105218502,0,0,,,,8,12,True,2501,True,False,peer15,UC1_P40,run-20251203-224549_uc7_p40_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,3.0,4.0,6.0,39.0,2.0,2.0,2.0,2.0,4.0,1.0,4.968170311657053,0,0,,,,8,12,True,2498,True,False,peer16,UC1_P40,run-20251203-224549_uc7_p40_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,2.0,3.0,5.0,38.0,1.0,1.0,1.0,3.0,5.0,1.0,3.9995436273786695,2,1,2.0,2.0,2.0,8,11,True,2436,True,False,peer17,UC1_P40,run-20251203-224549_uc7_p40_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,5.0,36.0,0.0,0.0,0.0,5.0,5.0,1.0,3.04951617885017,0,0,,,,8,9,True,2432,True,False,peer18,UC1_P40,run-20251203-224549_uc7_p40_m2000_r10_s256_DIRECT,True
