uc,run,joined_ratio,saw_test_ratio
UC1_P40,run-20251203-224549_uc7_p40_m2000_r10_s256_DIRECT,0.95,0.925
UC1_P40,run-20251203-224949_uc7_p40_m2000_r10_s256_DIRECT,0.975,0.975
UC1_P40,run-20251203-225348_uc7_p40_m2000_r10_s256_DIRECT,1.0,1.0
UC1_P40,run-20251203-225746_uc7_p40_m2000_r10_s256_DIRECT,0.975,0.975
UC1_P40,run-20251203-230145_uc7_p40_m2000_r10_s256_DIRECT,0.95,0.925
UC1_P40,run-20251203-230546_uc7_p40_m2000_r10_s256_DIRECT,0.975,0.975
UC1_P40,run-20251203-230946_uc7_p40_m2000_r10_s256_DIRECT,0.925,0.9
UC1_P40,run-20251203-231343_uc7_p40_m2000_r10_s256_DIRECT,0.975,0.975
UC1_P40,run-20251203-231741_uc7_p40_m2000_r10_s256_DIRECT,0.95,0.95
UC1_P40,run-20251203-232148_uc7_p40_m2000_r10_s256_DIRECT,0.975,0.975
UC1_P50,run-20251203-232954_uc7_p50_m2000_r10_s256_DIRECT,0.94,0.94
UC1_P50,run-20251203-233355_uc7_p50_m2000_r10_s256_DIRECT,0.96,0.96
UC1_P50,run-20251203-233800_uc7_p50_m2000_r10_s256_DIRECT,0.96,0.96
UC1_P50,run-20251203-234205_uc7_p50_m2000_r10_s256_DIRECT,0.96,0.94
UC1_P50,run-20251203-234607_uc7_p50_m2000_r10_s256_DIRECT,0.92,0.9
UC1_P50,run-20251203-235012_uc7_p50_m2000_r10_s256_DIRECT,0.96,0.94
UC1_P50,run-20251203-235414_uc7_p50_m2000_r10_s256_DIRECT,0.96,0.96
UC1_P50,run-20251203-235813_uc7_p50_m2000_r10_s256_DIRECT,0.96,0.96
UC1_P50,run-20251204-000214_uc7_p50_m2000_r10_s256_DIRECT,0.96,0.94
UC2_P40,run-20251203-222028_uc8_p40_m2000_r10_s256_RELAY,1.0,1.0
UC2_P40,run-20251203-222419_uc8_p40_m2000_r10_s256_RELAY,1.0,1.0
UC2_P40,run-20251203-222944_uc8_p40_m2000_r10_s256_RELAY,1.0,1.0
UC2_P40,run-20251203-223336_uc8_p40_m2000_r10_s256_RELAY,1.0,1.0
UC2_P40,run-20251203-223728_uc8_p40_m2000_r10_s256_RELAY,1.0,1.0
UC2_P40,run-20251203-224119_uc8_p40_m2000_r10_s256_RELAY,1.0,1.0
UC2_P40,run-20251203-224511_uc8_p40_m2000_r10_s256_RELAY,1.0,1.0
UC2_P50,run-20251204-000810_uc8_p50_m2000_r10_s256_RELAY,1.0,1.0
UC2_P50,run-20251204-001221_uc8_p50_m2000_r10_s256_RELAY,1.0,1.0
UC2_P50,run-20251204-001632_uc8_p50_m2000_r10_s256_RELAY,1.0,0.98
UC2_P50,run-20251204-002048_uc8_p50_m2000_r10_s256_RELAY,1.0,1.0
UC2_P50,run-20251204-002502_uc8_p50_m2000_r10_s256_RELAY,1.0,0.98
UC2_P50,run-20251204-002913_uc8_p50_m2000_r10_s256_RELAY,1.0,1.0
UC2_P50,run-20251204-003334_uc8_p50_m2000_r10_s256_RELAY,0.98,0.98
UC2_P50,run-20251204-003749_uc8_p50_m2000_r10_s256_RELAY,0.98,0.98
UC2_P50,run-20251204-004202_uc8_p50_m2000_r10_s256_RELAY,1.0,1.0
UC2_P50,run-20251204-004611_uc8_p50_m2000_r10_s256_RELAY,1.0,1.0
