uc,avg_joined_ratio,std_joined_ratio,min_joined_ratio,max_joined_ratio,avg_saw_test_ratio,std_saw_test_ratio,min_saw_test_ratio,max_saw_test_ratio,runs_with_full_join,runs_with_any_miss,total_runs,valid_runs
UC2_P10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,19,0,20,19
UC2_P20,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,20,0,20,20
UC2_P30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,20,0,20,20
UC2_P40,0.99875,0.005590169943749474,0.975,1.0,0.99375,0.011106541457982991,0.975,1.0,19,1,20,20
UC2_P50,1.0,0.0,1.0,1.0,0.9844444444444443,0.017564075040438207,0.94,1.0,18,0,18,18
