uc,run,joined_ratio,saw_test_ratio
UC1_P50,run-20251202-113424_uc7_p50_m2000_r10_s256_DIRECT,0.92,0.92
UC1_P50,run-20251202-113811_uc7_p50_m2000_r10_s256_DIRECT,0.98,0.98
UC1_P50,run-20251202-114152_uc7_p50_m2000_r10_s256_DIRECT,0.96,0.94
UC1_P50,run-20251203-074037_uc7_p50_m2000_r10_s256_DIRECT,0.98,0.98
UC1_P50,run-20251203-074522_uc7_p50_m2000_r10_s256_DIRECT,0.94,0.94
UC1_P50,run-20251203-074937_uc7_p50_m2000_r10_s256_DIRECT,0.96,0.96
UC1_P50,run-20251203-075350_uc7_p50_m2000_r10_s256_DIRECT,0.98,0.96
UC1_P50,run-20251203-075806_uc7_p50_m2000_r10_s256_DIRECT,1.0,1.0
UC1_P50,run-20251203-080219_uc7_p50_m2000_r10_s256_DIRECT,0.94,0.94
UC1_P50,run-20251203-080635_uc7_p50_m2000_r10_s256_DIRECT,0.98,0.94
UC1_P50,run-20251203-081051_uc7_p50_m2000_r10_s256_DIRECT,0.94,0.94
UC1_P50,run-20251203-081509_uc7_p50_m2000_r10_s256_DIRECT,0.96,0.96
UC1_P50,run-20251203-081926_uc7_p50_m2000_r10_s256_DIRECT,0.94,0.94
UC2_P10,run-20251202-174059_uc8_p10_m2000_r10_s256_RELAY,1.0,1.0
UC2_P10,run-20251202-174524_uc8_p10_m2000_r10_s256_RELAY,1.0,1.0
UC2_P10,run-20251202-174941_uc8_p10_m2000_r10_s256_RELAY,1.0,1.0
UC2_P10,run-20251202-175357_uc8_p10_m2000_r10_s256_RELAY,1.0,1.0
UC2_P10,run-20251202-175815_uc8_p10_m2000_r10_s256_RELAY,1.0,1.0
UC2_P10,run-20251202-180234_uc8_p10_m2000_r10_s256_RELAY,1.0,1.0
UC2_P10,run-20251202-180654_uc8_p10_m2000_r10_s256_RELAY,1.0,1.0
UC2_P10,run-20251202-181111_uc8_p10_m2000_r10_s256_RELAY,1.0,1.0
UC2_P10,run-20251202-181528_uc8_p10_m2000_r10_s256_RELAY,1.0,1.0
UC2_P10,run-20251202-181946_uc8_p10_m2000_r10_s256_RELAY,1.0,1.0
UC2_P10,run-20251203-110538_uc8_p10_m2000_r10_s256_RELAY,1.0,1.0
UC2_P10,run-20251203-110927_uc8_p10_m2000_r10_s256_RELAY,1.0,1.0
UC2_P10,run-20251203-111359_uc8_p10_m2000_r10_s256_RELAY,1.0,1.0
UC2_P10,run-20251203-111747_uc8_p10_m2000_r10_s256_RELAY,1.0,1.0
UC2_P10,run-20251203-112136_uc8_p10_m2000_r10_s256_RELAY,1.0,1.0
UC2_P10,run-20251203-112526_uc8_p10_m2000_r10_s256_RELAY,1.0,1.0
UC2_P10,run-20251203-112914_uc8_p10_m2000_r10_s256_RELAY,1.0,1.0
UC2_P10,run-20251203-113303_uc8_p10_m2000_r10_s256_RELAY,1.0,1.0
UC2_P10,run-20251203-113652_uc8_p10_m2000_r10_s256_RELAY,1.0,1.0
UC2_P50,run-20251202-212036_uc8_p50_m2000_r10_s256_RELAY,1.0,0.98
UC2_P50,run-20251202-212436_uc8_p50_m2000_r10_s256_RELAY,1.0,0.96
UC2_P50,run-20251202-212837_uc8_p50_m2000_r10_s256_RELAY,1.0,1.0
UC2_P50,run-20251202-213237_uc8_p50_m2000_r10_s256_RELAY,1.0,0.98
UC2_P50,run-20251202-213638_uc8_p50_m2000_r10_s256_RELAY,1.0,1.0
UC2_P50,run-20251202-214441_uc8_p50_m2000_r10_s256_RELAY,1.0,0.94
UC2_P50,run-20251202-215244_uc8_p50_m2000_r10_s256_RELAY,1.0,0.96
UC2_P50,run-20251202-215644_uc8_p50_m2000_r10_s256_RELAY,1.0,0.98
UC2_P50,run-20251203-073300_uc8_p50_m2000_r10_s256_RELAY,1.0,1.0
UC2_P50,run-20251203-073706_uc8_p50_m2000_r10_s256_RELAY,1.0,0.98
UC2_P50,run-20251203-074106_uc8_p50_m2000_r10_s256_RELAY,1.0,1.0
UC2_P50,run-20251203-074507_uc8_p50_m2000_r10_s256_RELAY,1.0,1.0
UC2_P50,run-20251203-074907_uc8_p50_m2000_r10_s256_RELAY,1.0,1.0
UC2_P50,run-20251203-075308_uc8_p50_m2000_r10_s256_RELAY,1.0,0.98
UC2_P50,run-20251203-075710_uc8_p50_m2000_r10_s256_RELAY,1.0,1.0
UC2_P50,run-20251203-080110_uc8_p50_m2000_r10_s256_RELAY,1.0,0.98
UC2_P50,run-20251203-080512_uc8_p50_m2000_r10_s256_RELAY,1.0,0.98
UC2_P50,run-20251203-080913_uc8_p50_m2000_r10_s256_RELAY,1.0,1.0
