uc,avg_joined_ratio,std_joined_ratio,min_joined_ratio,max_joined_ratio,avg_saw_test_ratio,std_saw_test_ratio,min_saw_test_ratio,max_saw_test_ratio,runs_with_full_join,runs_with_any_miss,total_runs,valid_runs
UC3_P10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,10,0,10,10
UC3_P50,0.8,0.10327955589886444,0.68,0.94,0.8,0.10327955589886444,0.68,0.94,0,10,10,10
UC4_P10,0.8,0.2,0.4,1.0,0.8,0.2,0.4,1.0,3,7,10,10
