uc,run,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms
UC3_P50,run-20251204-103810_uc9_p50_m2000_r10_s256_DIRECT,1921.16,0.22,8732.545454545454,8732.545454545454,8732.545454545454
UC3_P50,run-20251204-104210_uc9_p50_m2000_r10_s256_DIRECT,108.46,0.28,398.61538461538464,398.61538461538464,398.61538461538464
UC3_P50,run-20251204-104609_uc9_p50_m2000_r10_s256_DIRECT,165.08,0.24,776.2222222222222,849.3333333333334,849.3333333333334
UC3_P50,run-20251204-105009_uc9_p50_m2000_r10_s256_DIRECT,5001.08,0.58,11797.3,11828.75,11828.75
UC3_P50,run-20251204-105411_uc9_p50_m2000_r10_s256_DIRECT,202.06,0.38,574.4,574.4,574.4
UC3_P50,run-20251204-105812_uc9_p50_m2000_r10_s256_DIRECT,304.34,0.5,662.3125,777.4375,777.4375
UC3_P50,run-20251204-110211_uc9_p50_m2000_r10_s256_DIRECT,294.56,0.56,585.9047619047619,617.4761904761905,617.4761904761905
UC3_P50,run-20251204-110612_uc9_p50_m2000_r10_s256_DIRECT,337.96,0.58,732.0,736.4,736.4
UC3_P50,run-20251204-111011_uc9_p50_m2000_r10_s256_DIRECT,97.84,0.22,454.6,454.6,454.6
UC4_P10,run-20251204-113128_uc10_p10_m2000_r10_s256_RELAY,22.0,0.1,220.0,220.0,220.0
UC4_P10,run-20251204-113521_uc10_p10_m2000_r10_s256_RELAY,0.0,0.0,,,
UC4_P10,run-20251204-113910_uc10_p10_m2000_r10_s256_RELAY,0.0,0.0,,,
UC4_P10,run-20251204-114259_uc10_p10_m2000_r10_s256_RELAY,0.0,0.0,,,
UC4_P10,run-20251204-114648_uc10_p10_m2000_r10_s256_RELAY,119.2,0.1,1192.0,1192.0,1192.0
UC4_P10,run-20251204-115037_uc10_p10_m2000_r10_s256_RELAY,238.0,0.4,595.0,595.0,595.0
UC4_P10,run-20251204-115425_uc10_p10_m2000_r10_s256_RELAY,21.3,0.1,213.0,213.0,213.0
UC4_P10,run-20251204-115814_uc10_p10_m2000_r10_s256_RELAY,0.0,0.0,,,
UC4_P10,run-20251204-120203_uc10_p10_m2000_r10_s256_RELAY,260.5,0.3,868.3333333333334,868.3333333333334,868.3333333333334
UC4_P10,run-20251204-120552_uc10_p10_m2000_r10_s256_RELAY,0.0,0.0,,,
UC4_P50,run-20251205-202651_uc10_p50_m2000_r10_s256_RELAY,112.84,0.18,626.8888888888889,626.8888888888889,626.8888888888889
UC4_P50,run-20251205-203059_uc10_p50_m2000_r10_s256_RELAY,7341.34,0.42,24269.866666666665,24286.066666666666,24286.066666666666
UC4_P50,run-20251205-203503_uc10_p50_m2000_r10_s256_RELAY,338.38,0.38,688.5625,1003.8125,1003.8125
UC4_P50,run-20251205-203907_uc10_p50_m2000_r10_s256_RELAY,378.54,0.5,805.0,805.0,805.0
UC4_P50,run-20251205-204309_uc10_p50_m2000_r10_s256_RELAY,3208.06,0.3,13071.25,13137.333333333334,13137.333333333334
UC4_P50,run-20251205-204713_uc10_p50_m2000_r10_s256_RELAY,228.96,0.3,829.5454545454545,829.5454545454545,829.5454545454545
UC4_P50,run-20251205-205112_uc10_p50_m2000_r10_s256_RELAY,283.04,0.28,1137.75,1137.75,1137.75
UC4_P50,run-20251205-205517_uc10_p50_m2000_r10_s256_RELAY,109.48,0.14,782.0,782.0,782.0
UC4_P50,run-20251205-205923_uc10_p50_m2000_r10_s256_RELAY,71.28,0.04,1782.0,1782.0,1782.0
UC4_P50,run-20251205-210321_uc10_p50_m2000_r10_s256_RELAY,127.6,0.22,580.0,580.0,580.0
UC4_P50,run-20251205-211913_uc10_p50_m2000_r10_s256_RELAY,89.6,0.16,614.2857142857143,614.2857142857143,614.2857142857143
UC4_P50,run-20251205-212320_uc10_p50_m2000_r10_s256_RELAY,343.28,0.32,1190.2857142857142,1190.2857142857142,1190.2857142857142
UC4_P50,run-20251205-212718_uc10_p50_m2000_r10_s256_RELAY,132.9,0.12,1308.8,1308.8,1308.8
UC4_P50,run-20251205-213115_uc10_p50_m2000_r10_s256_RELAY,128.82,0.12,1280.8,1280.8,1280.8
UC4_P50,run-20251205-213513_uc10_p50_m2000_r10_s256_RELAY,295.48,0.3,964.1111111111111,1376.5555555555557,1376.5555555555557
UC4_P50,run-20251205-213911_uc10_p50_m2000_r10_s256_RELAY,81.88,0.12,682.3333333333334,682.3333333333334,682.3333333333334
UC4_P50,run-20251205-214307_uc10_p50_m2000_r10_s256_RELAY,169.94,0.14,1324.1666666666667,1324.1666666666667,1324.1666666666667
UC4_P50,run-20251205-214705_uc10_p50_m2000_r10_s256_RELAY,126.96,0.12,1109.2,1109.2,1109.2
UC4_P50,run-20251205-215103_uc10_p50_m2000_r10_s256_RELAY,294.46,0.22,1530.5,1530.5,1530.5
UC4_P50,run-20251205-215501_uc10_p50_m2000_r10_s256_RELAY,22.3,0.06,371.6666666666667,371.6666666666667,371.6666666666667
