uc,run,neighbour_down,neighbour_up
UC4_P10,run-20251204-120203_uc10_p10_m2000_r10_s256_RELAY,3.1,6.5
UC4_P10,run-20251204-120552_uc10_p10_m2000_r10_s256_RELAY,0.6,3.3
UC4_P50,run-20251205-202651_uc10_p50_m2000_r10_s256_RELAY,9.48,12.22
UC4_P50,run-20251205-203059_uc10_p50_m2000_r10_s256_RELAY,14.44,16.72
UC4_P50,run-20251205-203503_uc10_p50_m2000_r10_s256_RELAY,12.1,14.64
UC4_P50,run-20251205-203907_uc10_p50_m2000_r10_s256_RELAY,17.32,19.58
UC4_P50,run-20251205-204309_uc10_p50_m2000_r10_s256_RELAY,12.58,14.86
UC4_P50,run-20251205-204713_uc10_p50_m2000_r10_s256_RELAY,5.6,7.7
UC4_P50,run-20251205-205112_uc10_p50_m2000_r10_s256_RELAY,6.66,8.74
UC4_P50,run-20251205-205517_uc10_p50_m2000_r10_s256_RELAY,9.38,11.24
UC4_P50,run-20251205-205923_uc10_p50_m2000_r10_s256_RELAY,2.46,3.9
UC4_P50,run-20251205-210321_uc10_p50_m2000_r10_s256_RELAY,5.14,7.66
UC4_P50,run-20251205-211913_uc10_p50_m2000_r10_s256_RELAY,9.24,11.64
UC4_P50,run-20251205-212320_uc10_p50_m2000_r10_s256_RELAY,4.54,6.74
UC4_P50,run-20251205-212718_uc10_p50_m2000_r10_s256_RELAY,3.64,5.58
UC4_P50,run-20251205-213115_uc10_p50_m2000_r10_s256_RELAY,4.54,6.78
UC4_P50,run-20251205-213513_uc10_p50_m2000_r10_s256_RELAY,5.98,8.24
UC4_P50,run-20251205-213911_uc10_p50_m2000_r10_s256_RELAY,5.82,8.06
UC4_P50,run-20251205-214307_uc10_p50_m2000_r10_s256_RELAY,3.34,4.92
UC4_P50,run-20251205-214705_uc10_p50_m2000_r10_s256_RELAY,5.12,7.32
UC4_P50,run-20251205-215103_uc10_p50_m2000_r10_s256_RELAY,5.46,7.38
UC4_P50,run-20251205-215501_uc10_p50_m2000_r10_s256_RELAY,5.26,7.48
