uc,total_runs,mean_delivery_rate,std_delivery_rate,min_rate,max_rate
UC1_P50,5,0.9954880000000002,0.008932134123489187,0.9795100000000001,0.99952
UC2_P50,10,1.0,0.0,1.0,1.0
