uc,run,avg_connected_peers
UC5_P30_C10,run-20251216-162855_uc5_p30_c10_m2000_r10_s256_DIRECT,3.9338508077454244
UC5_P30_C10,run-20251216-163305_uc5_p30_c10_m2000_r10_s256_DIRECT,4.135998509647456
UC5_P30_C10,run-20251216-163710_uc5_p30_c10_m2000_r10_s256_DIRECT,3.842493141336581
UC5_P30_C10,run-20251216-164114_uc5_p30_c10_m2000_r10_s256_DIRECT,4.03714567151074
UC5_P30_C10,run-20251216-164521_uc5_p30_c10_m2000_r10_s256_DIRECT,4.182463726935317
UC5_P30_C10,run-20251216-164926_uc5_p30_c10_m2000_r10_s256_DIRECT,4.050256183630063
UC5_P30_C10,run-20251216-165330_uc5_p30_c10_m2000_r10_s256_DIRECT,3.7009495019398244
UC5_P30_C10,run-20251216-165734_uc5_p30_c10_m2000_r10_s256_DIRECT,4.06535139889291
UC5_P30_C10,run-20251216-170139_uc5_p30_c10_m2000_r10_s256_DIRECT,4.262497246369688
UC5_P30_C10,run-20251216-170543_uc5_p30_c10_m2000_r10_s256_DIRECT,4.052999591746594
UC5_P30_C20,run-20251216-154745_uc5_p30_c20_m2000_r10_s256_DIRECT,4.06637773929273
UC5_P30_C20,run-20251216-155153_uc5_p30_c20_m2000_r10_s256_DIRECT,4.392647637643781
UC5_P30_C20,run-20251216-155603_uc5_p30_c20_m2000_r10_s256_DIRECT,4.249765244621135
UC5_P30_C20,run-20251216-160012_uc5_p30_c20_m2000_r10_s256_DIRECT,4.063005378868288
UC5_P30_C20,run-20251216-160421_uc5_p30_c20_m2000_r10_s256_DIRECT,
UC5_P30_C20,run-20251216-160802_uc5_p30_c20_m2000_r10_s256_DIRECT,3.939432454112986
UC5_P30_C20,run-20251216-161208_uc5_p30_c20_m2000_r10_s256_DIRECT,4.187145082728027
UC5_P30_C20,run-20251216-161613_uc5_p30_c20_m2000_r10_s256_DIRECT,4.171731470454867
UC5_P30_C20,run-20251216-162017_uc5_p30_c20_m2000_r10_s256_DIRECT,4.237772321702776
UC5_P30_C20,run-20251216-162421_uc5_p30_c20_m2000_r10_s256_DIRECT,3.9505909768970944
UC5_P30_C30,run-20251216-133456_uc5_p30_c30_m2000_r10_s256_DIRECT,4.0163051568736385
UC5_P30_C30,run-20251216-133907_uc5_p30_c30_m2000_r10_s256_DIRECT,3.9677072563459435
UC5_P30_C30,run-20251216-134319_uc5_p30_c30_m2000_r10_s256_DIRECT,4.081895217690059
