uc,sender_fail_rate_percent
UC5_P10_C10,0.0
UC5_P10_C20,0.0
UC5_P10_C30,0.0
UC5_P20_C10,10.0
UC5_P20_C20,0.0
UC5_P20_C30,10.0
UC5_P30_C10,0.0
UC5_P30_C20,10.0
UC5_P30_C30,0.0
UC5_P40_C10,0.0
UC5_P40_C20,0.0
UC5_P40_C30,10.0
UC5_P50_C10,0.0
UC5_P50_C20,0.0
UC5_P50_C30,0.0
