uc,run,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms
UC5_P10_C30,run-20251216-193329_uc5_p10_c30_m2000_r10_s256_DIRECT,0.2,0.1,2.0,2.0,2.0
UC5_P10_C30,run-20251216-193731_uc5_p10_c30_m2000_r10_s256_DIRECT,0.3,0.1,3.0,3.0,3.0
UC5_P10_C30,run-20251216-194134_uc5_p10_c30_m2000_r10_s256_DIRECT,0.3,0.2,1.5,1.5,1.5
UC5_P10_C30,run-20251216-194535_uc5_p10_c30_m2000_r10_s256_DIRECT,0.2,0.1,2.0,2.0,2.0
UC5_P10_C30,run-20251216-194937_uc5_p10_c30_m2000_r10_s256_DIRECT,0.5,0.1,5.0,5.0,5.0
UC5_P10_C30,run-20251216-195340_uc5_p10_c30_m2000_r10_s256_DIRECT,0.1,0.1,1.0,1.0,1.0
UC5_P20_C10,run-20251216-171111_uc5_p20_c10_m2000_r10_s256_DIRECT,0.0,0.0,,,
UC5_P20_C10,run-20251216-171515_uc5_p20_c10_m2000_r10_s256_DIRECT,0.25,0.15,1.6666666666666667,1.6666666666666667,1.6666666666666667
UC5_P20_C10,run-20251216-171921_uc5_p20_c10_m2000_r10_s256_DIRECT,0.0,0.05,0.0,0.0,0.0
UC5_P20_C10,run-20251216-172326_uc5_p20_c10_m2000_r10_s256_DIRECT,0.05,0.05,1.0,1.0,1.0
UC5_P20_C10,run-20251216-172729_uc5_p20_c10_m2000_r10_s256_DIRECT,0.45,0.15,3.0,3.0,3.0
UC5_P20_C10,run-20251216-173134_uc5_p20_c10_m2000_r10_s256_DIRECT,0.0,0.05,0.0,0.0,0.0
UC5_P20_C10,run-20251216-173536_uc5_p20_c10_m2000_r10_s256_DIRECT,0.0,0.05,0.0,0.0,0.0
UC5_P20_C10,run-20251216-173945_uc5_p20_c10_m2000_r10_s256_DIRECT,0.0,0.0,,,
UC5_P20_C10,run-20251216-174324_uc5_p20_c10_m2000_r10_s256_DIRECT,0.4,0.1,4.0,4.0,4.0
UC5_P20_C10,run-20251216-174735_uc5_p20_c10_m2000_r10_s256_DIRECT,0.1,0.05,2.0,2.0,2.0
UC5_P20_C20,run-20251216-175334_uc5_p20_c20_m2000_r10_s256_DIRECT,0.2,0.05,4.0,4.0,4.0
UC5_P20_C20,run-20251216-175739_uc5_p20_c20_m2000_r10_s256_DIRECT,0.3,0.15,3.0,3.0,3.0
UC5_P20_C20,run-20251216-180142_uc5_p20_c20_m2000_r10_s256_DIRECT,0.25,0.1,2.5,2.5,2.5
UC5_P20_C20,run-20251216-180546_uc5_p20_c20_m2000_r10_s256_DIRECT,0.05,0.1,0.5,0.5,0.5
UC5_P20_C20,run-20251216-180952_uc5_p20_c20_m2000_r10_s256_DIRECT,0.0,0.0,,,
UC5_P20_C20,run-20251216-181356_uc5_p20_c20_m2000_r10_s256_DIRECT,0.1,0.15,1.0,1.0,1.0
UC5_P20_C20,run-20251216-181759_uc5_p20_c20_m2000_r10_s256_DIRECT,0.2,0.05,4.0,4.0,4.0
UC5_P20_C20,run-20251216-182202_uc5_p20_c20_m2000_r10_s256_DIRECT,0.2,0.15,2.0,2.0,2.0
UC5_P20_C20,run-20251216-182609_uc5_p20_c20_m2000_r10_s256_DIRECT,0.05,0.05,1.0,1.0,1.0
UC5_P20_C20,run-20251216-183013_uc5_p20_c20_m2000_r10_s256_DIRECT,0.95,0.2,4.75,4.75,4.75
UC5_P20_C30,run-20251216-183508_uc5_p20_c30_m2000_r10_s256_DIRECT,0.0,0.05,0.0,0.0,0.0
UC5_P20_C30,run-20251216-183912_uc5_p20_c30_m2000_r10_s256_DIRECT,0.0,0.0,,,
UC5_P20_C30,run-20251216-184251_uc5_p20_c30_m2000_r10_s256_DIRECT,0.0,0.0,,,
UC5_P20_C30,run-20251216-184654_uc5_p20_c30_m2000_r10_s256_DIRECT,0.0,0.05,0.0,0.0,0.0
UC5_P20_C30,run-20251216-185103_uc5_p20_c30_m2000_r10_s256_DIRECT,0.7,0.25,2.8,2.8,2.8
UC5_P20_C30,run-20251216-185511_uc5_p20_c30_m2000_r10_s256_DIRECT,0.05,0.1,0.5,0.5,0.5
UC5_P20_C30,run-20251216-185915_uc5_p20_c30_m2000_r10_s256_DIRECT,0.2,0.2,1.3333333333333333,1.3333333333333333,1.3333333333333333
UC5_P20_C30,run-20251216-190324_uc5_p20_c30_m2000_r10_s256_DIRECT,0.15,0.1,3.0,3.0,3.0
UC5_P20_C30,run-20251216-190726_uc5_p20_c30_m2000_r10_s256_DIRECT,0.25,0.2,1.25,1.25,1.25
UC5_P20_C30,run-20251216-191128_uc5_p20_c30_m2000_r10_s256_DIRECT,0.0,0.0,,,
UC5_P30_C10,run-20251216-162855_uc5_p30_c10_m2000_r10_s256_DIRECT,0.3333333333333333,0.1,3.3333333333333335,3.3333333333333335,3.3333333333333335
UC5_P30_C10,run-20251216-163305_uc5_p30_c10_m2000_r10_s256_DIRECT,0.3,0.1,3.0,3.0,3.0
UC5_P30_C10,run-20251216-163710_uc5_p30_c10_m2000_r10_s256_DIRECT,0.1,0.13333333333333333,1.0,1.0,1.0
UC5_P30_C10,run-20251216-164114_uc5_p30_c10_m2000_r10_s256_DIRECT,0.2,0.1,2.0,2.0,2.0
