received_unique,recv_total,total_expected,delivery_rate,duplicate_rate,duplicates,out_of_order,lagged_events,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,pr_avg_ratio,avg_connected_peers,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms,neighbour_down,neighbour_up,joined,join_wait_ms,saw_test,timed_out_no_data,peer,uc,run,sender_joined,churn_pct
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.495824899329148,0,0,,,,4,8,True,2729,True,False,peer7,UC5_P10_C10,run-20251216-210736_uc5_p10_c10_m2000_r10_s256_DIRECT,True,10
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.999905440197372,0,0,,,,5,8,True,2728,True,False,peer8,UC5_P10_C10,run-20251216-210736_uc5_p10_c10_m2000_r10_s256_DIRECT,True,10
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.99991404540981,0,0,,,,4,7,True,2728,True,False,peer9,UC5_P10_C10,run-20251216-210736_uc5_p10_c10_m2000_r10_s256_DIRECT,True,10
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,3.999995706790998,0,0,,,,7,11,True,727,True,False,peer1,UC5_P10_C10,run-20251216-211138_uc5_p10_c10_m2000_r10_s256_DIRECT,True,10
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.9998669013782147,0,0,,,,3,7,True,457,True,False,peer10,UC5_P10_C10,run-20251216-211138_uc5_p10_c10_m2000_r10_s256_DIRECT,True,10
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9998754750198597,0,0,,,,0,4,True,458,True,False,peer2,UC5_P10_C10,run-20251216-211138_uc5_p10_c10_m2000_r10_s256_DIRECT,True,10
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,8098.0,10101.0,0.0,0.0,0.0,0.0,1.0,1.0,4.999793891458089,0,0,,,,1,5,True,454,True,False,peer3,UC5_P10_C10,run-20251216-211138_uc5_p10_c10_m2000_r10_s256_DIRECT,True,10
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.999884080370943,0,0,,,,3,6,True,454,True,False,peer4,UC5_P10_C10,run-20251216-211138_uc5_p10_c10_m2000_r10_s256_DIRECT,True,10
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.9998368286357158,0,0,,,,3,6,True,457,True,False,peer5,UC5_P10_C10,run-20251216-211138_uc5_p10_c10_m2000_r10_s256_DIRECT,True,10
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9999656537381614,0,0,,,,1,3,True,461,True,False,peer6,UC5_P10_C10,run-20251216-211138_uc5_p10_c10_m2000_r10_s256_DIRECT,True,10
