uc,run,reconnect_samples_joined_only
UC3_P10,run-20251202-191923_uc9_p10_m2000_r10_s256_DIRECT,2.1
UC3_P10,run-20251202-192327_uc9_p10_m2000_r10_s256_DIRECT,1.0
UC3_P10,run-20251202-192734_uc9_p10_m2000_r10_s256_DIRECT,1.6
UC3_P10,run-20251202-193139_uc9_p10_m2000_r10_s256_DIRECT,1.6
UC3_P10,run-20251202-193549_uc9_p10_m2000_r10_s256_DIRECT,2.6
UC3_P10,run-20251202-193956_uc9_p10_m2000_r10_s256_DIRECT,1.7
UC3_P10,run-20251202-194402_uc9_p10_m2000_r10_s256_DIRECT,2.0
UC3_P10,run-20251202-194810_uc9_p10_m2000_r10_s256_DIRECT,2.1
UC3_P10,run-20251202-195216_uc9_p10_m2000_r10_s256_DIRECT,2.2
UC3_P10,run-20251202-195623_uc9_p10_m2000_r10_s256_DIRECT,2.8
UC3_P50,run-20251202-222159_uc9_p50_m2000_r10_s256_DIRECT,11.86
UC3_P50,run-20251202-222601_uc9_p50_m2000_r10_s256_DIRECT,11.38
UC3_P50,run-20251202-223002_uc9_p50_m2000_r10_s256_DIRECT,11.92
UC3_P50,run-20251202-223403_uc9_p50_m2000_r10_s256_DIRECT,11.12
UC3_P50,run-20251202-223804_uc9_p50_m2000_r10_s256_DIRECT,11.9
UC3_P50,run-20251202-224205_uc9_p50_m2000_r10_s256_DIRECT,11.9
UC3_P50,run-20251202-224606_uc9_p50_m2000_r10_s256_DIRECT,11.62
UC3_P50,run-20251202-225007_uc9_p50_m2000_r10_s256_DIRECT,11.94
UC3_P50,run-20251202-225408_uc9_p50_m2000_r10_s256_DIRECT,12.44
UC3_P50,run-20251202-225809_uc9_p50_m2000_r10_s256_DIRECT,11.9
UC4_P10,run-20251203-002110_uc10_p10_m2000_r10_s256_RELAY,1.7777777777777777
UC4_P10,run-20251203-002457_uc10_p10_m2000_r10_s256_RELAY,0.6666666666666666
UC4_P10,run-20251203-002844_uc10_p10_m2000_r10_s256_RELAY,2.6666666666666665
UC4_P10,run-20251203-003230_uc10_p10_m2000_r10_s256_RELAY,2.1
UC4_P10,run-20251203-003617_uc10_p10_m2000_r10_s256_RELAY,1.7142857142857142
UC4_P10,run-20251203-004004_uc10_p10_m2000_r10_s256_RELAY,2.125
UC4_P10,run-20251203-004350_uc10_p10_m2000_r10_s256_RELAY,2.142857142857143
UC4_P10,run-20251203-004737_uc10_p10_m2000_r10_s256_RELAY,2.1
UC4_P10,run-20251203-005124_uc10_p10_m2000_r10_s256_RELAY,0.7142857142857143
UC4_P10,run-20251203-005512_uc10_p10_m2000_r10_s256_RELAY,0.2857142857142857
UC4_P50,run-20251202-220056_uc10_p50_m2000_r10_s256_RELAY,9.073170731707316
UC4_P50,run-20251202-220450_uc10_p50_m2000_r10_s256_RELAY,8.055555555555555
UC4_P50,run-20251202-220845_uc10_p50_m2000_r10_s256_RELAY,9.763157894736842
UC4_P50,run-20251202-221239_uc10_p50_m2000_r10_s256_RELAY,7.394736842105263
UC4_P50,run-20251202-221636_uc10_p50_m2000_r10_s256_RELAY,5.243243243243243
UC4_P50,run-20251202-222031_uc10_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251202-222121_uc10_p50_m2000_r10_s256_RELAY,9.952380952380953
UC4_P50,run-20251202-222516_uc10_p50_m2000_r10_s256_RELAY,7.473684210526316
UC4_P50,run-20251202-222911_uc10_p50_m2000_r10_s256_RELAY,9.292682926829269
UC4_P50,run-20251202-223307_uc10_p50_m2000_r10_s256_RELAY,10.906976744186046
