uc,run,convergence_time_ms,convergence_time_s
UC3_P10,run-20251202-191923_uc9_p10_m2000_r10_s256_DIRECT,213364.0,213.364
UC3_P10,run-20251202-192327_uc9_p10_m2000_r10_s256_DIRECT,215191.0,215.191
UC3_P10,run-20251202-192734_uc9_p10_m2000_r10_s256_DIRECT,216240.0,216.24
UC3_P10,run-20251202-193139_uc9_p10_m2000_r10_s256_DIRECT,214245.0,214.245
UC3_P10,run-20251202-193549_uc9_p10_m2000_r10_s256_DIRECT,215594.0,215.594
UC3_P10,run-20251202-193956_uc9_p10_m2000_r10_s256_DIRECT,216266.0,216.266
UC3_P10,run-20251202-194402_uc9_p10_m2000_r10_s256_DIRECT,,
UC3_P10,run-20251202-194810_uc9_p10_m2000_r10_s256_DIRECT,,
UC3_P10,run-20251202-195216_uc9_p10_m2000_r10_s256_DIRECT,217554.0,217.554
UC3_P10,run-20251202-195623_uc9_p10_m2000_r10_s256_DIRECT,215485.0,215.485
UC3_P50,run-20251202-222159_uc9_p50_m2000_r10_s256_DIRECT,,
UC3_P50,run-20251202-222601_uc9_p50_m2000_r10_s256_DIRECT,,
UC3_P50,run-20251202-223002_uc9_p50_m2000_r10_s256_DIRECT,,
UC3_P50,run-20251202-223403_uc9_p50_m2000_r10_s256_DIRECT,,
UC3_P50,run-20251202-223804_uc9_p50_m2000_r10_s256_DIRECT,,
UC3_P50,run-20251202-224205_uc9_p50_m2000_r10_s256_DIRECT,,
UC3_P50,run-20251202-224606_uc9_p50_m2000_r10_s256_DIRECT,,
UC3_P50,run-20251202-225007_uc9_p50_m2000_r10_s256_DIRECT,,
UC3_P50,run-20251202-225408_uc9_p50_m2000_r10_s256_DIRECT,,
UC3_P50,run-20251202-225809_uc9_p50_m2000_r10_s256_DIRECT,,
UC4_P10,run-20251203-002110_uc10_p10_m2000_r10_s256_RELAY,202653.75,202.65375
UC4_P10,run-20251203-002457_uc10_p10_m2000_r10_s256_RELAY,202540.2,202.5402
UC4_P10,run-20251203-002844_uc10_p10_m2000_r10_s256_RELAY,202549.375,202.549375
UC4_P10,run-20251203-003230_uc10_p10_m2000_r10_s256_RELAY,202414.25,202.41425
UC4_P10,run-20251203-003617_uc10_p10_m2000_r10_s256_RELAY,202305.2,202.3052
UC4_P10,run-20251203-004004_uc10_p10_m2000_r10_s256_RELAY,202577.42857142858,202.57742857142858
UC4_P10,run-20251203-004350_uc10_p10_m2000_r10_s256_RELAY,202495.4,202.4954
UC4_P10,run-20251203-004737_uc10_p10_m2000_r10_s256_RELAY,202572.875,202.572875
UC4_P10,run-20251203-005124_uc10_p10_m2000_r10_s256_RELAY,202515.4,202.5154
UC4_P10,run-20251203-005512_uc10_p10_m2000_r10_s256_RELAY,202523.25,202.52325
UC4_P50,run-20251202-220056_uc10_p50_m2000_r10_s256_RELAY,202398.33333333334,202.39833333333334
UC4_P50,run-20251202-220450_uc10_p50_m2000_r10_s256_RELAY,202515.48571428572,202.51548571428572
UC4_P50,run-20251202-220845_uc10_p50_m2000_r10_s256_RELAY,202329.25,202.32925
UC4_P50,run-20251202-221239_uc10_p50_m2000_r10_s256_RELAY,202583.5,202.5835
UC4_P50,run-20251202-221636_uc10_p50_m2000_r10_s256_RELAY,202744.32258064515,202.74432258064516
UC4_P50,run-20251202-222031_uc10_p50_m2000_r10_s256_RELAY,,
UC4_P50,run-20251202-222121_uc10_p50_m2000_r10_s256_RELAY,202500.2,202.5002
UC4_P50,run-20251202-222516_uc10_p50_m2000_r10_s256_RELAY,202528.0,202.528
UC4_P50,run-20251202-222911_uc10_p50_m2000_r10_s256_RELAY,,
UC4_P50,run-20251202-223307_uc10_p50_m2000_r10_s256_RELAY,,
