uc,sender_fail_rate_percent
UC3_P10,0.0
UC3_P20,0.0
UC3_P30,0.0
UC3_P40,0.0
UC3_P50,0.0
UC4_P10,0.0
UC4_P20,0.0
UC4_P30,0.0
UC4_P40,0.0
UC4_P50,60.0
