uc,total_runs,mean_delivery_rate,std_delivery_rate,min_rate,max_rate
UC3_P10,10,0.9892902777777778,0.0032021831250130337,0.9837777777777776,0.9925499999999999
UC3_P20,10,0.9876470588235294,0.002466665984756245,0.9824705882352942,0.99175
UC3_P30,10,0.9924133333333334,0.0033755273936357023,0.9849333333333334,0.9958166666666667
UC3_P40,10,0.9920175320512821,0.0033946770502111608,0.98425,0.9955128205128206
UC3_P50,10,0.9947760816326531,0.0019881962959133045,0.9911,0.9976700000000001
UC4_P10,10,0.9975185912698412,0.0024365930163156905,0.99175,0.9998333333333334
UC4_P20,10,0.9965553851540616,0.0034622862204016164,0.9890882352941176,1.0
UC4_P30,10,0.9940236656459482,0.005224335032553974,0.9855,0.9996190476190476
UC4_P40,10,0.995396865116985,0.0042948425751988435,0.9862333333333333,0.9997571428571429
UC4_P50,8,0.9976923004626036,0.0014660826970939477,0.9952580645161291,0.9996309523809523
