uc,run,reconnect_samples_joined_only
UC4_P10,run-20251201-165245_uc4_p10_m2000_r10_s256_RELAY,1.0
UC4_P10,run-20251201-165640_uc4_p10_m2000_r10_s256_RELAY,3.0
UC4_P10,run-20251201-170028_uc4_p10_m2000_r10_s256_RELAY,2.625
UC4_P10,run-20251201-170416_uc4_p10_m2000_r10_s256_RELAY,2.4444444444444446
UC4_P10,run-20251201-170805_uc4_p10_m2000_r10_s256_RELAY,2.3
UC4_P10,run-20251201-171153_uc4_p10_m2000_r10_s256_RELAY,1.7142857142857142
UC4_P10,run-20251201-171541_uc4_p10_m2000_r10_s256_RELAY,2.1
UC4_P10,run-20251201-171929_uc4_p10_m2000_r10_s256_RELAY,2.9
UC4_P10,run-20251201-172318_uc4_p10_m2000_r10_s256_RELAY,1.4285714285714286
UC4_P10,run-20251201-172706_uc4_p10_m2000_r10_s256_RELAY,0.0
UC4_P20,run-20251201-205144_uc4_p20_m2000_r10_s256_RELAY,4.823529411764706
UC4_P20,run-20251201-205536_uc4_p20_m2000_r10_s256_RELAY,2.0
UC4_P20,run-20251201-205930_uc4_p20_m2000_r10_s256_RELAY,4.2631578947368425
UC4_P20,run-20251201-210323_uc4_p20_m2000_r10_s256_RELAY,4.6875
UC4_P20,run-20251201-210715_uc4_p20_m2000_r10_s256_RELAY,5.578947368421052
UC4_P20,run-20251201-211107_uc4_p20_m2000_r10_s256_RELAY,4.3
UC4_P20,run-20251201-211500_uc4_p20_m2000_r10_s256_RELAY,3.176470588235294
UC4_P20,run-20251201-211848_uc4_p20_m2000_r10_s256_RELAY,3.75
UC4_P20,run-20251201-212237_uc4_p20_m2000_r10_s256_RELAY,4.176470588235294
UC4_P20,run-20251201-212625_uc4_p20_m2000_r10_s256_RELAY,5.2631578947368425
UC4_P30,run-20251201-213212_uc4_p30_m2000_r10_s256_RELAY,5.461538461538462
UC4_P30,run-20251201-213602_uc4_p30_m2000_r10_s256_RELAY,4.961538461538462
UC4_P30,run-20251201-213952_uc4_p30_m2000_r10_s256_RELAY,6.038461538461538
UC4_P30,run-20251201-214343_uc4_p30_m2000_r10_s256_RELAY,3.6956521739130435
UC4_P30,run-20251201-214734_uc4_p30_m2000_r10_s256_RELAY,0.0
UC4_P30,run-20251201-214819_uc4_p30_m2000_r10_s256_RELAY,0.0
UC4_P30,run-20251201-214904_uc4_p30_m2000_r10_s256_RELAY,0.0
UC4_P30,run-20251201-214949_uc4_p30_m2000_r10_s256_RELAY,0.0
UC4_P30,run-20251201-215034_uc4_p30_m2000_r10_s256_RELAY,0.0
UC4_P30,run-20251201-215119_uc4_p30_m2000_r10_s256_RELAY,0.0
UC4_P30,run-20251202-030436_uc4_p30_m2000_r10_s256_RELAY,0.0
UC4_P30,run-20251202-030522_uc4_p30_m2000_r10_s256_RELAY,0.0
UC4_P30,run-20251202-030608_uc4_p30_m2000_r10_s256_RELAY,0.0
UC4_P30,run-20251202-030653_uc4_p30_m2000_r10_s256_RELAY,0.0
UC4_P30,run-20251202-030739_uc4_p30_m2000_r10_s256_RELAY,0.0
UC4_P30,run-20251202-030824_uc4_p30_m2000_r10_s256_RELAY,0.0
UC4_P30,run-20251202-030909_uc4_p30_m2000_r10_s256_RELAY,0.0
UC4_P30,run-20251202-030955_uc4_p30_m2000_r10_s256_RELAY,0.0
UC4_P30,run-20251202-031040_uc4_p30_m2000_r10_s256_RELAY,0.0
UC4_P30,run-20251202-031126_uc4_p30_m2000_r10_s256_RELAY,0.0
UC4_P30,run-20251202-032408_uc4_p30_m2000_r10_s256_RELAY,4.296296296296297
UC4_P30,run-20251202-032813_uc4_p30_m2000_r10_s256_RELAY,6.033333333333333
UC4_P30,run-20251202-033217_uc4_p30_m2000_r10_s256_RELAY,5.233333333333333
UC4_P30,run-20251202-033619_uc4_p30_m2000_r10_s256_RELAY,4.08
UC4_P30,run-20251202-034024_uc4_p30_m2000_r10_s256_RELAY,5.076923076923077
UC4_P30,run-20251202-034429_uc4_p30_m2000_r10_s256_RELAY,5.346153846153846
UC4_P30,run-20251202-034923_uc4_p30_m2000_r10_s256_RELAY,0.0
UC4_P30,run-20251202-035016_uc4_p30_m2000_r10_s256_RELAY,0.0
UC4_P30,run-20251202-035109_uc4_p30_m2000_r10_s256_RELAY,0.0
UC4_P40,run-20251201-215637_uc4_p40_m2000_r10_s256_RELAY,6.25
UC4_P40,run-20251201-220030_uc4_p40_m2000_r10_s256_RELAY,5.645161290322581
UC4_P40,run-20251201-220422_uc4_p40_m2000_r10_s256_RELAY,5.67741935483871
UC4_P40,run-20251201-220815_uc4_p40_m2000_r10_s256_RELAY,6.611111111111111
UC4_P40,run-20251201-221207_uc4_p40_m2000_r10_s256_RELAY,0.0
UC4_P40,run-20251201-221255_uc4_p40_m2000_r10_s256_RELAY,0.0
UC4_P40,run-20251201-221342_uc4_p40_m2000_r10_s256_RELAY,0.0
UC4_P40,run-20251201-221429_uc4_p40_m2000_r10_s256_RELAY,0.0
UC4_P40,run-20251201-221517_uc4_p40_m2000_r10_s256_RELAY,0.0
UC4_P40,run-20251201-221604_uc4_p40_m2000_r10_s256_RELAY,0.0
UC4_P40,run-20251202-025145_uc4_p40_m2000_r10_s256_RELAY,6.529411764705882
UC4_P40,run-20251202-025537_uc4_p40_m2000_r10_s256_RELAY,5.636363636363637
UC4_P40,run-20251202-032808_uc4_p40_m2000_r10_s256_RELAY,6.470588235294118
UC4_P40,run-20251202-033212_uc4_p40_m2000_r10_s256_RELAY,5.411764705882353
UC4_P40,run-20251202-033605_uc4_p40_m2000_r10_s256_RELAY,6.233333333333333
UC4_P40,run-20251202-033957_uc4_p40_m2000_r10_s256_RELAY,5.514285714285714
UC4_P40,run-20251202-034349_uc4_p40_m2000_r10_s256_RELAY,5.290322580645161
UC4_P40,run-20251202-034741_uc4_p40_m2000_r10_s256_RELAY,0.0
UC4_P40,run-20251202-034828_uc4_p40_m2000_r10_s256_RELAY,0.0
UC4_P40,run-20251202-034916_uc4_p40_m2000_r10_s256_RELAY,0.0
UC4_P40,run-20251202-035003_uc4_p40_m2000_r10_s256_RELAY,0.0
UC4_P40,run-20251202-035050_uc4_p40_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251201-221723_uc4_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251201-221813_uc4_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251201-221902_uc4_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251201-221952_uc4_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251201-222041_uc4_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251201-222130_uc4_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251201-222219_uc4_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251201-222309_uc4_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251201-222358_uc4_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251202-021113_uc4_p50_m2000_r10_s256_RELAY,6.230769230769231
UC4_P50,run-20251202-021507_uc4_p50_m2000_r10_s256_RELAY,6.72093023255814
UC4_P50,run-20251202-021902_uc4_p50_m2000_r10_s256_RELAY,6.475
UC4_P50,run-20251202-022257_uc4_p50_m2000_r10_s256_RELAY,6.525
UC4_P50,run-20251202-022651_uc4_p50_m2000_r10_s256_RELAY,7.102564102564102
UC4_P50,run-20251202-023045_uc4_p50_m2000_r10_s256_RELAY,7.568181818181818
UC4_P50,run-20251202-023440_uc4_p50_m2000_r10_s256_RELAY,5.9772727272727275
UC4_P50,run-20251202-023835_uc4_p50_m2000_r10_s256_RELAY,4.976190476190476
UC4_P50,run-20251202-024230_uc4_p50_m2000_r10_s256_RELAY,6.454545454545454
UC4_P50,run-20251202-024625_uc4_p50_m2000_r10_s256_RELAY,7.048780487804878
