uc,run,joined_ratio,saw_test_ratio
UC4_P10,run-20251201-165245_uc4_p10_m2000_r10_s256_RELAY,0.6,0.6
UC4_P10,run-20251201-165640_uc4_p10_m2000_r10_s256_RELAY,0.9,0.9
UC4_P10,run-20251201-170028_uc4_p10_m2000_r10_s256_RELAY,0.8,0.8
UC4_P10,run-20251201-170416_uc4_p10_m2000_r10_s256_RELAY,0.9,0.9
UC4_P10,run-20251201-170805_uc4_p10_m2000_r10_s256_RELAY,1.0,1.0
UC4_P10,run-20251201-171153_uc4_p10_m2000_r10_s256_RELAY,0.7,0.7
UC4_P10,run-20251201-171541_uc4_p10_m2000_r10_s256_RELAY,1.0,1.0
UC4_P10,run-20251201-171929_uc4_p10_m2000_r10_s256_RELAY,1.0,1.0
UC4_P10,run-20251201-172318_uc4_p10_m2000_r10_s256_RELAY,0.7,0.7
UC4_P10,run-20251201-172706_uc4_p10_m2000_r10_s256_RELAY,0.4,0.4
UC4_P20,run-20251201-205144_uc4_p20_m2000_r10_s256_RELAY,0.85,0.85
UC4_P20,run-20251201-205536_uc4_p20_m2000_r10_s256_RELAY,0.7,0.7
UC4_P20,run-20251201-205930_uc4_p20_m2000_r10_s256_RELAY,0.95,0.95
UC4_P20,run-20251201-210323_uc4_p20_m2000_r10_s256_RELAY,0.8,0.8
UC4_P20,run-20251201-210715_uc4_p20_m2000_r10_s256_RELAY,0.95,0.95
UC4_P20,run-20251201-211107_uc4_p20_m2000_r10_s256_RELAY,1.0,1.0
UC4_P20,run-20251201-211500_uc4_p20_m2000_r10_s256_RELAY,0.85,0.85
UC4_P20,run-20251201-211848_uc4_p20_m2000_r10_s256_RELAY,0.8,0.8
UC4_P20,run-20251201-212237_uc4_p20_m2000_r10_s256_RELAY,0.85,0.85
UC4_P20,run-20251201-212625_uc4_p20_m2000_r10_s256_RELAY,0.95,0.95
UC4_P30,run-20251201-213212_uc4_p30_m2000_r10_s256_RELAY,0.8666666666666667,0.8666666666666667
UC4_P30,run-20251201-213602_uc4_p30_m2000_r10_s256_RELAY,0.8666666666666667,0.8666666666666667
UC4_P30,run-20251201-213952_uc4_p30_m2000_r10_s256_RELAY,0.8666666666666667,0.8666666666666667
UC4_P30,run-20251201-214343_uc4_p30_m2000_r10_s256_RELAY,0.7666666666666667,0.7666666666666667
UC4_P40,run-20251201-215637_uc4_p40_m2000_r10_s256_RELAY,0.9,0.9
UC4_P40,run-20251201-220030_uc4_p40_m2000_r10_s256_RELAY,0.775,0.775
UC4_P40,run-20251201-220422_uc4_p40_m2000_r10_s256_RELAY,0.775,0.775
UC4_P40,run-20251201-220815_uc4_p40_m2000_r10_s256_RELAY,0.9,0.9
