uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,churn_pct,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,pr_avg_ratio,avg_connected_peers,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms,neighbour_down,neighbour_up,join_wait_ms,sender_joined,joined,saw_test,delivery_rate_joined_only
UC5_P50_C30,run-20251216-084656_uc5_p50_c30_m2000_r10_s256_DIRECT,0.93965,0.0,1879.3,1879.3,1880.0,0.0,11.94,30.0,0.0851063829787234,1.2127659574468086,1.8936170212765957,3250.978723404255,4038.1063829787236,1.702127659574468,3.3404255319148937,3.9574468085106385,4.829787234042553,6.23404255319149,1.0,4.167140040102635,0.48,0.12,3.8,3.8,3.8,18.04,21.24,11659.72,1.0,0.96,0.94,0.9788020833333334
UC5_P50_C30,run-20251216-085106_uc5_p50_c30_m2000_r10_s256_DIRECT,0.97748,0.0,1954.96,1954.96,1960.0,0.0,4.14,30.0,0.10204081632653061,1.0612244897959184,1.7142857142857142,2598.9795918367345,3245.530612244898,1.2653061224489797,3.163265306122449,3.6122448979591835,4.204081632653061,6.061224489795919,1.0,3.9370301094787856,1.1,0.1,11.0,11.0,11.0,19.66,22.72,6385.54,1.0,0.98,0.98,0.9974285714285714
UC5_P50_C30,run-20251216-085514_uc5_p50_c30_m2000_r10_s256_DIRECT,0.9580900000000001,0.0,1916.18,1916.18,1920.0,0.0,16.62,30.0,0.08333333333333333,1.0833333333333333,1.7083333333333333,2650.3333333333335,3312.2708333333335,1.3333333333333333,2.8125,3.5,3.9791666666666665,4.583333333333333,1.0,3.9600599273477513,0.04,0.08,0.5,0.5,0.5,16.26,19.44,9754.34,1.0,0.96,0.96,0.9980104166666668
UC5_P50_C30,run-20251216-085922_uc5_p50_c30_m2000_r10_s256_DIRECT,0.9000100000000001,0.0,1800.02,1800.02,1840.0,0.0,20.64,30.0,0.5869565217391305,1.6521739130434783,2.239130434782609,2936.2391304347825,3664.608695652174,1.3695652173913044,1.9565217391304348,2.217391304347826,3.739130434782609,7.586956521739131,1.0,4.0369643320327295,0.24,0.08,3.3333333333333335,3.3333333333333335,3.3333333333333335,11.72,14.7,13052.54,1.0,0.94,0.92,0.9574574468085106
UC5_P50_C30,run-20251216-090330_uc5_p50_c30_m2000_r10_s256_DIRECT,0.93932,0.0,1878.64,1878.64,1880.0,0.0,8.56,30.0,0.0425531914893617,1.1063829787234043,1.6808510638297873,2703.68085106383,3374.6170212765956,1.2765957446808511,2.723404255319149,3.0851063829787235,4.127659574468085,4.276595744680851,1.0,4.003090258662731,0.18,0.12,1.4,1.4,1.4,16.26,19.36,10279.8,1.0,0.96,0.94,0.9784583333333333
UC5_P50_C30,run-20251216-090738_uc5_p50_c30_m2000_r10_s256_DIRECT,0.9390700000000001,0.0,1878.14,1878.14,1880.0,0.0,21.32,30.0,0.1276595744680851,1.4042553191489362,1.9361702127659575,2890.4893617021276,3624.0851063829787,1.702127659574468,3.574468085106383,3.893617021276596,4.404255319148936,4.638297872340425,1.0,3.955732943418735,0.46,0.06,7.666666666666667,7.666666666666667,7.666666666666667,11.2,14.22,13753.0,1.0,0.94,0.94,0.9990106382978724
UC6_P10_C30,run-20251218-120858_uc6_p10_c30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,13.2,30.0,0.0,1.3,1.6,2453.6,3068.9,0.8,1.0,1.2,1.2,1.7,1.0,3.274882977799649,0.0,0.0,,,,1.6,5.0,85.9,1.0,1.0,1.0,1.0
UC6_P10_C30,run-20251218-121304_uc6_p10_c30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,19.8,30.0,0.0,1.0,1.7,2460.6,3079.1,0.6,0.8,0.8,0.9,1.9,1.0,3.930337327939165,0.8,0.1,8.0,8.0,8.0,3.3,6.7,101.4,1.0,1.0,1.0,1.0
UC6_P10_C30,run-20251218-121710_uc6_p10_c30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,6.6,30.0,0.1,1.2,1.7,2448.0,3072.1,0.9,0.9,1.2,1.4,2.5,1.0,3.875720306954084,0.4,0.1,4.0,4.0,4.0,3.6,7.0,113.5,1.0,1.0,1.0,1.0
UC6_P10_C30,run-20251218-122116_uc6_p10_c30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,30.0,0.3,1.3,1.8,2460.2,3092.0,1.1,1.3,1.4,1.5,1.9,1.0,3.8192784707178555,0.0,0.0,,,,1.7,5.4,101.4,1.0,1.0,1.0,1.0
